pubnub/chat-engine,codacy,2018-04-24T20:12:09Z,i think that codacy-bot doesn't like that you've only defined the var and never used it. you can do something stupid like ```syncchat.objectify()``` which returns json to resolve this. the proper solution is to create two lint configs. one for tests (where we can disable this) and one for src. where we can keep this enabled.,positive
prettier/prettier,eslint,2017-12-18T22:28:56Z,bakkot oh. to clarify: i think that the only property keys that should ever be quoted are non-identifiers; in other words. adding and removing a key never changes the quoting of any other key. airbnb doesn't use any of eslint's "consistent" options; only the "as-needed" option.,neutral
prettier/prettier,eslint,2017-12-19T05:58:43Z,for posterity: if prettier can become compatible with airbnb's styleguide. which means that it will allow configuration where we differ. both now and in the future. wherever eslint can not be used afterwards to clean up differences. then airbnb is indeed interested in using prettier.,positive
prettier/prettier,eslint,2017-12-19T20:42:50Z,austinkelleher honestly it's not something i. nor many people i've worked with. have run into. many different styles of syntax "happen" to help with an arbitrary regex or some other pattern. but it's not really a big enough issue to crack open something as big as a style change here for function definitions.ljharb i don't see what the issue is using prettier and eslint. use eslint-prettier-config (or whatever it's called) to disable the formatting-specific rules in eslint and you use both for what they are good at.you do lose determinism. the use case i show above would show up all over the place - prettier broke the function across lines but then somebody removes arguments and it's left expanded across lines. now in code reviews you'll have "the function definition fits on one line - please collapse it". these these show up all over the place. i don't see how eslint helps with determinism - use it for what its good at. which is analyzing semantics. and don't use it for formatting. that's prettier's official stance. prettier should always output y no matter what is in x. that's what the determinism means. you objectively lose that the more and more you depend on what's in x.adding another option. especially something that huge. is not an option imho. when somebody uses prettier they expect a certain output. that would be such a huge change that you don't really know what style a project has even though it uses prettier. right now you can generally know what style you're going to get. even though options tweak very small things like quotes. and even though we've added some options. i hope we're still embracing relatively zero config. there's always an option to fork. i still that's the way to go if you want a space after `function`. or some other large change like changing when it collapses things. that's the beauty of open source. it should be relatively easy to maintain and rebase changes on newer updates of prettier; those kinds of things are usually relatively small code tweaks. in my current app i've forked several popular open-source projects to tweak things for how i want them to work. i think that's a more ideal situation than trying to cater to the enormous size of the entire js community.,positive
prettier/prettier,eslint,2017-12-19T20:49:27Z,jlongster the issue is that when "the choice of multiline" is an explicit developer intention. and prettier removes that. eslint can no longer have any idea that that choice was made in the first place. disabling the formatting-specific rules in eslint doesn't work unless prettier exactly matches our configuration for those rules - which it decidedly does not. if/when we're able to get prettier working at airbnb (and with our public config). it will be with disabling zero eslint rules only.certainly this would require losing some determinism in prettier when the option i'm asking for is enabled. if adding an option like this is a nonstarter. then that's something we'll have to consider. however. the goal would not be that "prettier implies x style". it would be that "prettier-eslint implies x style".regarding a space after `function`; eslint already handles that for us. so there's no need to fork - the only place where that becomes a possibly necessity is when prettier is destroying information that eslint can not restore: namely. collapsing things (destroying the developer's intention to make it multiline) and removing parens (destroying the developer's intention to add the unnecessary parens for whatever reason).i think that the ease of forking is a wonderful thing about open source; but that doesn't mean forking has no cost. forking a project and constantly rebasing on top of the upstream is a very expensive thing to do. and in general *isn't* good for the overall ecosystem (when shared broadly - when it's done inside a single app for your own use. sure. go for it).,positive
prettier/prettier,eslint,2017-12-19T21:00:09Z,i think it's written in the instructions. that if you want to combine prettier with eslint you have to disable all the formatting rules.. if you don't. then you are on your own i guess..,positive
prettier/prettier,eslint,2017-12-19T21:36:42Z,lipis we've made some changes to eslint itself in the last month that makes that not true. currently you don't have to disable *any* of the formatting rules if they're configured correctly. and you use prettier-eslint.,negative
prettier/prettier,eslint,2017-12-20T10:03:15Z,need a way for a plugin (e.g. our own javascript support) to support multiple parsers that map to one printer.e.g. we have parsers:* `babylon`* `flow-parser`* `typescript-eslint-parser`and soon `babylon`'s `typescript` plugin will be compatible.which all output a similar ast. we have two "languages" here: `javascript` and `typescript`.all of them map to the same printer. (let's call it `estree` after the ast it serializes)could it look something like this?```jsexport const languages = [  {    name: 'javascript'.    // first would be the default?    parsers: ['babylon'. 'flow'].    astformat: 'estree'.  }.  {    name: 'typescript'.    parsers: ['typescript-eslint'. ['babylon'. { extraplugins: ['typescript'] }]].    astformat: 'estree'.  }.];export const parsers = {  babylon: parsewithbabylon.  flow: parsewithflow.  'typescript-eslint': parsewithtsep.};export const printers = {  estree: {    print: printasttodoc.    embed: embedfromestree.  }.};```then we can support a generic `--parser.javascript flow` option for the current `--parser flow` use case.,negative
prettier/prettier,eslint,2017-12-22T23:08:00Z,i haven't got it to work at all in vs code with format on save. my eslintrc extends standard but when i save a .vue file semicolons get added :(,neutral
prettier/prettier,eslint,2017-12-24T12:49:28Z,stevealee do you have prettier preferences set within your user settings in vs code? this is what mine looks like:```json{"editor.detectindentation": true."editor.fontfamily": "operator mono"."editor.fontsize": 17."editor.formatonsave": true."editor.formatonpaste": true."editor.wordwrap": "on"."workbench.colortheme": "cobalt2"."prettier.singlequote": true."prettier.semi": false."prettier.usetabs": true."prettier.tabwidth": 4."prettier.trailingcomma": "none"."prettier.eslintintegration": true."prettier.ignorepath": "package.json"."files.associations": {"*.js": "javascriptreact"}."workbench.startupeditor": "welcomepage"."files.autosave": "off"."sublimetextkeymap.promptv3features": true."editor.multicursormodifier": "ctrlcmd"."editor.snippetsuggestions": "top"."window.zoomlevel": 0."[javascript]": {}}```,neutral
prettier/prettier,eslint,2017-12-26T02:59:22Z,i wonder if we should be recommending `.prettierrc.js` or `prettier.config.js`. the latter seems to be more common. but eslint uses the former.,neutral
prettier/prettier,eslint,2017-12-26T03:26:30Z,i came to the same conclusion that it should be `.prettierrc.js` because eslint uses `.eslintrc.js`.  why do they both exist?,neutral
prettier/prettier,eslint,2017-12-26T12:00:16Z,we don't add options for this kind of thing (see #40). i'd suggest using eslint (prettier-eslint) to do this.,neutral
prettier/prettier,eslint,2017-12-29T20:35:16Z,this is a huge can of worms. at facebook we're in the process of solving it via an eslint plugin with autofix that reorders all the require/imports but it's been difficult.there's a bunch of cases where you have imports and code mixed together. how do you define when imports end? do you force a new line after each group of imports?```jsimport { myconstants } from 'myconstants';const { a. b. c } = myconstants;import ...;```same for exports. they are often in between the code. so it's not as clear when to put a \n.my gut feeling is that we're unlikely going to find something that works all the time and if/when we do so. it's going to be very complex and not provide a ton of value compared to the frustration it's going to cause. but i could be wrong :),negative
prettier/prettier,eslint,2018-01-04T05:59:38Z,i'm sorry i did not catch the fix or workaround for this issue.until now i just wrap an ugly `/* eslint-disable indent */` around ternary operators.it would be very  (*nice*) if someone could remind how to deal this.,negative
prettier/prettier,eslint,2018-01-08T14:42:25Z,what about copying eslint's approach when you try to lint ignored files? `0:0  warning  file ignored because of a matching ignore pattern. use "--no-ignore" to override`or negated pattern as proposed above.,neutral
prettier/prettier,eslint,2018-01-09T04:57:42Z,seems `.prettierignore` doesn't not work for `eslint-plugin-prettier`.how can i ignore `*.vue` for `eslint-plugin-prettier`.,negative
prettier/prettier,eslint,2018-01-09T06:20:11Z,jasonxia23  use `.eslintignore`.,neutral
prettier/prettier,eslint,2018-01-11T17:04:25Z,we would also have to be careful not to move `// eslint-disable-line` comments.,neutral
prettier/prettier,eslint,2018-01-11T17:07:20Z,…and `eslint-disable-next-line` and `tslint:disable-line` and `istanbul ignore next` and `prettier-ignore`. etc.,neutral
reactivestack/cookies,sauce,2017-11-15T14:08:22Z,yes. the errors say that the account has no permission to start the sauce tests (```{"message": "not authorized"}```).likely the repo owner has not renewed their plan at saucelabs and this why (all of) the saucelabs tests are failing.,negative
reactivestack/cookies,sauce,2017-11-23T02:23:42Z,open source projects are free with saucelabs so the plan should not be an issue. i'll take a look. this is anoying i agree.,negative
docpad/docpad,standard,2014-12-11T04:01:29Z,+1 for this. ready to merge. providing `--no-color` is implemented?,neutral
sequelize/sequelize,mocha,2014-03-21T00:33:42Z,i'll mess around with it a bit more to see if i can give a bit more info.. i've not done much testing yet as far as tdd/bdd goes (getting started with it using mocha/chai).,neutral
sequelize/sequelize,eslint,2017-11-25T07:12:12Z,release: missing eslint rules around spacing. <!-- thanks for wanting to fix something on sequelize - we already love you long time!please fill in the template below.if unsure about something. just do as best as you're able.if your pr only contains changes to documentation. you may skip the template below.-->### pull request check-list_please make sure to review and check all of these items:_- [ ] does `npm run test` or `npm run test-dialect` pass with this change (including linting)?- [ ] does the description below contain a link to an existing issue (closes #[issue]) or a description of the issue you are solving?- [ ] have you added new tests to prevent regressions?- [ ] is a documentation update included (if this change modifies existing apis. or introduces new ones)?- [ ] did you follow the commit message conventions explained in [contributing.md](../contributing.md)?<!-- note: these things are not required to open a pr and can be done afterwards / while the pr is open. -->### description of change<!-- please provide a description of the change here. -->,neutral
TryGhost/Ghost,mocha,2015-02-18T19:08:01Z,> in theory it would be better from ember-cli's perspective if the tests were in the "normal" locationi know we had this discussion a few months back regarding the location of ember tests. and i was in favor of the path of least resistance then (i.e.. locating them under `/client`). and i have to say that after working with ember-cli that i'm _really_ in favor of doing it now.i was able to get all the client tests running (and passing!) via `ember test` in like 20 minutes using ember-cli-mocha and ember-mocha.  i wasted that much time just trying to guess what to change in our current customized setup (and didn't get anything close to working).**edit**also. that weird problem i've been having where i can't test the rendered output of a component is gone when running the tests under ember-cli.,negative
workshopper/learnyounode,standard,2017-06-02T05:05:27Z,ok. it looks like it is now failing on the official node.js document generator api that is part of the offline document api. otherwise it seems to be working as intended. i could go through those files. and change them all to standard if needed. and it should remove any of the ci errors.actually. going to check out this eexists issue first.,positive
workshopper/learnyounode,standard,2017-06-02T05:12:31Z,ok. i see now. it is catching the fs.stat error which isn't an actual error. let me quiet that down. and see if it will ignore the standard on the official after that. fix coming up.,negative
caolan/async,mocha,2016-02-17T00:08:11Z,we test `lib/` with nodeunit and mocha using babel to compile the es modules.  we have a simple smoke-test for the compiled output (cjs. umd. and es formats).,neutral
caolan/async,mocha,2016-02-24T00:43:28Z,modularization is now on master. so no weird branch to consider now!,negative
caolan/async,mocha,2016-02-24T08:56:56Z,thanks for the heads up. i will submit a new pr soon.,positive
caolan/async,mocha,2016-02-24T12:04:09Z,cool jorgebay. by the way. it might make sense to implement this via `async.some` as you can accomplish the same result with `some`,neutral
caolan/async,mocha,2016-02-24T23:39:26Z,yeah. but heads up. we also want to change the arguments for `some` and family to take an error in the callback. #118,neutral
caolan/async,mocha,2016-02-26T11:15:30Z,async.race module. based on the discussion from #568 .contains mocha-based tests and readme update.same as #1018 but using modules.,neutral
caolan/async,mocha,2016-03-06T22:42:48Z,i'm still :100: on this. but master has changed significantly.  can you re-do the work?  it also would be nice if you added a `mocha_test` too.,positive
caolan/async,mocha,2016-03-06T22:44:38Z,sure. i'll redo this and add a mocha test as well :+1:,positive
caolan/async,mocha,2016-03-07T04:14:10Z,re-did this to support the new master and added a mocha test. i did some refactoring as well to the original code to make it clearer.,neutral
gaearon/react-hot-loader,mocha,2017-09-16T20:55:47Z,thelordhighexecutioner thanks but we will update all dependencies. not just mocha.,positive
JedWatson/react-select,eslint,2018-04-20T12:56:02Z,welp. i'm pretty sure i didn't `npm uninstall eslint`. so not sure what's up with travis :/,negative
smartsheet-platform/smartsheet-javascript-sdk,mocha,2018-06-08T19:08:23Z,cve-2017-16042 - fix growl vulnerability. updates the `mocha` and `gulp-mocha` packages.  watch the build to ensure nothing's been broken elsewhere.,negative
nightwatchjs/nightwatch,mocha,2016-04-05T09:16:01Z,question: tags & mocha runner. is it possible to use nightwatch tags with the mocha test runner? if so. how?,neutral
nightwatchjs/nightwatch,mocha,2016-04-05T10:31:16Z,not at the moment.,neutral
buildo/react-components,eslint,2016-09-10T17:15:23Z,replace ad-hoc eslint globals with jest env. as per title## test planci passes,neutral
videojs/videojs-youtube,sauce,2014-12-20T12:30:19Z,the saucelabs tests are now working fine. no need to rewrite everything.,positive
angular-fullstack/generator-angular-fullstack,karma,2015-03-05T02:13:59Z,add an injector target to inject bower components file into karma.conf. this will bring convenience instead of adding js file to karma.conf manually. but it also will bring an new issue of not ensuring all required files is added. and unnecessary css files is added in.,neutral
alexa-js/alexa-app,mocha,2016-12-16T20:47:50Z,gurpreetatwal would love to see a pr. you got my attention now.,positive
alexa-js/alexa-app,mocha,2016-12-16T23:31:08Z,i'll start working on it in about a week. are you taking over the maintenance of this repo now? i'd love to help with that if you like,positive
alexa-js/alexa-app,mocha,2016-12-17T00:08:28Z,thanks. i'm just helping out. i do have committer rights and such. i know matt-kruse is considering making an org and expanding the circle of friends. so looking forward!,positive
alexa-js/alexa-app,mocha,2017-01-02T19:40:53Z,i agree. these are mine.  out of curiosity do these reproduce for you locally?  i do not get them running mocha on my box (obviously or i wouldn't have put this up for pr to begin with).  i'm trying to decide if this is a build script issue. or my box issue and then a general code issue.,neutral
cure53/DOMPurify,karma,2016-05-03T08:20:28Z,run tests using jsdom on travis and the local-test script. also see #149 perhaps you could push this branch as a branch on cure53/dompurify to make sure that travis succeeds? this pr will of course also trigger a travis run. but without the karma tests.,positive
cure53/DOMPurify,karma,2016-05-03T09:52:54Z,awesome. checking now!,positive
cure53/DOMPurify,karma,2016-05-03T14:30:07Z,cool!,positive
zeromq/zeromq.js,mocha,2016-09-16T08:52:07Z,reduce mocha timeout. we could even go with a shorter timeout since we use `travis/appveyor_retry`.,neutral
Hacker0x01/react-datepicker,eslint,2018-06-19T13:11:20Z,is there any update on the status of this pr?,neutral
Hacker0x01/react-datepicker,eslint,2018-06-21T19:48:36Z,colinrcummings friendly poke for update on this pr,positive
Hacker0x01/react-datepicker,eslint,2018-06-21T20:42:25Z,cc aij,neutral
Hacker0x01/react-datepicker,eslint,2018-06-22T14:32:23Z,sorry. didn't catch this as it was failing some checks. merged it now!,negative
webpack/webpack,standard,2017-05-11T03:54:34Z,kevinokerlund. the problem with this plugin is that it modifies the behavior of es modules in a non standard way.also. because webpack ends up consuming commonjs modules. it cannot perform tree-shaking optimizations anymore (even though tree-shaking is only partially working so far)..,negative
webpack/webpack,uglify,2018-09-10T13:08:17Z,yep these warnings are pre-existing in `next`. they are from the uglifyjs-webpack-plugin (`--trace-deprecation` if you want details). it doesn't support webpack 5 yet. which deprecates some stuff.,neutral
webpack/webpack,uglify,2018-09-10T13:09:33Z,not sure if it makes sense to fix it in `uglifyjs-webpack-plugin` since it should be replaced anyway (which this issue is actually about).,neutral
webpack/webpack,uglify,2018-09-24T15:19:51Z,i really like google closure compiler and rollup approach that just create local variables and just rename variables as necessary to avoid collision. i know that just encapsulating every module in its own function is easier but it comes with a cost.when every export is just a variable declaration. a lot of tools like uglify will just strip unused variables. eliminating a whole bunch of unused modules.,negative
socketstream/socketstream,mocha,2015-06-01T18:24:16Z,kulicuu isn't that something mocha has documented?,neutral
metarhia/impress,eslint,2017-09-07T02:08:55Z,update eslint config. ###### first committhis commit removes rules from `.eslintrc.yml` in favor of using the`eslint-config-metarhia` package.  three rules are turned off for now.because they trigger lots of linter errors: - `arrow-parens` — forces consistent parens usage in arrow functions - `comma-dangle` — forces vcs- and diff-friendly comma usage - `handle-callback-err` — ensures the errors are handled instead of   being silently ignoredhow these exceptions are handled further is outside the scope of thiscommit/pull request.  former two of them are purely stylistic. but thelatter one points at legitimate potential bugs.`eslint` package has been updated to match what `peerdependencies` of`eslint-config-metarhia` require. and `eslint-plugin-import`. which isalso a part of the config's `peerdependencies`. has been installed.consequently. `eslint-plugin-impress` has been updated too. so that npmdoes not complain at unmet peer dependencies (technically. it isn'tstrongly connected with this patch. since eslint4 has already been usedon `master`. so it must have been complaining already. but given thatthe whole eslint infra is updated here. it kind of fits and is in spiritof the changes).###### second committake it or drop it. it doesn't really matter. similar changes in otherrepos involved migration to json for eslint configuration files. so ihave done it here too.,negative
metarhia/impress,eslint,2017-09-13T01:02:35Z,landed in 6a13521,neutral
acuminous/yadda,mocha,2016-02-19T15:17:55Z,that's a fun one. made more difficult because i took a shortcut with the jasmine plugin. it's really just the mocha plugin since their apis are so similar.a solution for now would be to set the default jasmine timeout to something much larger.going forward what to you think about specifying the timeout with an annotation at scenario level?```step-timeout=5000scenario: etc etc```this timeout would be applied to all steps. not perfect. but better than a global and without doing something crazy with the individual steps.,negative
prebid/Prebid.js,sauce,2016-12-15T13:39:29Z,kumasauce we are not using it at the moment (for completely unrelated reasons that are temporary) - but yes. we used it for months with no change in cpms. and we were happy with how much it reduced the amount of requests and bandwidth consumed.,neutral
