ashiina/lambda-local,mocha,2016-04-09T12:34:17Z,added lambda properties. refactored. wrote mocha test,neutral
pixijs/pixi.js,jshint,2016-03-30T19:32:36Z,pair of jshint. canvastinter problem,neutral
pixijs/pixi.js,jshint,2016-03-30T19:33:37Z,cheers man! :+1:,positive
pixijs/pixi.js,jshint,2016-04-04T23:06:27Z,update package.json. fix not found module jshint during gulp build . jshint needs to be installed with gulp-jshint.,neutral
pixijs/pixi.js,jshint,2016-04-05T20:20:05Z,thank you. i appreciate your advice on this matter.,positive
jquery/esprima,mocha,2015-02-12T23:27:57Z,unit tests: use a test runner to run the tests. something like karma or mocha. in fact. we should again look at what espree has done here.,neutral
jquery/esprima,mocha,2015-02-12T23:33:15Z,how's this different than #1004?,neutral
jquery/esprima,mocha,2015-02-13T00:47:02Z,sorry. missed it during a brain dump!,negative
jquery/esprima,mocha,2015-02-13T03:12:00Z,ariya. then i'll take this one and get mocha set up. expect pr tomorrow.,neutral
jquery/esprima,mocha,2015-02-13T04:20:44Z,mikesherov shouldn't you start with a test runner first (karma or venus.js)? last time i checked. maybe it's changing already these days. the standard `mocha` runner doesn't automatically run the tests in (different) browsers.,neutral
jquery/esprima,mocha,2015-02-13T16:45:26Z,> it's one less thing people have to learn about before they can contribute.this. i don't think we need to reinvent the wheel here. as long as the resulting tests are small. easily identified when failing. and can be run on node and browsers both locally and in ci. we should be good.i think using mocha. chai. leche. and karma address this issue while providing contributors familiarity.,neutral
jquery/esprima,mocha,2015-02-13T18:17:52Z,yup. all comes free with mocha/karma.,neutral
serverless/serverless,mocha,2016-04-09T12:16:00Z,addition of sc5-serverless-boilerplate and serverless-mocha-plugin to the documentation. sc5-serverless-boilerplate is a project template for test driven development of rest backends (installed using sls project install -n projectname sc5-serverless-boilerplateserverless-mocha-plugin is a plugin to ease test driven development with serverless,neutral
serverless/serverless,istanbul,2016-04-07T04:50:00Z,thanks a lot apaatsio :blush: ... i'm gonna close this pr for now since it's outdated/conflicting. we should've accepted it long time ago! really sorry :disappointed: ... we're currently discussing internally which tools should we use for test coverage and ci. should be easy to set up once we're there :)thanks again for your contribution :blush:,positive
Azure/autorest,standard,2016-03-08T20:25:57Z,maybe this is best addressed by adopting the convention that if the format is 'byte.' i.e. base64-encoded. and the parameter is a query or path parameter. then it's base64url instead of standard base64?,neutral
Azure/autorest,mocha,2017-04-26T21:56:54Z,mocha broke the build,neutral
airbnb/javascript,eslint,2015-11-23T23:02:18Z,seems like a good idea iamstarkov - but our current strategy allows one to install `eslint-config-airbnb` and use only the es5 stuff if you don't want the react deps. which is more important - lighter install weight. or reduced doc reading and install verbosity?,neutral
airbnb/javascript,eslint,2015-11-24T22:05:45Z,it's good to avoid the footgun of a falsy non-undefined value when using `||` - however. in the case of your example. where "port" needs to be a positive integer. `opts.port || 80` is actually more accurate than your "good" example. although nowhere near as precise as it should be.separately. is there an eslint rule that would enforce this?,positive
airbnb/javascript,eslint,2015-11-25T00:56:01Z,so. is there any progress here?,neutral
airbnb/javascript,eslint,2015-11-25T00:58:00Z,nothing actionable here - just add the parser setup to your own `.eslintrc`. easy enough.,neutral
airbnb/javascript,eslint,2015-11-25T01:00:00Z,got it. thank you,positive
airbnb/javascript,eslint,2015-11-25T01:16:52Z,> our current strategy allows one to install eslint-config-airbnb and use only the es5 stuff if you don't want the react deps. which is more important - lighter install weight. or reduced doc reading and install verbosity?maybe then `eslint-condfig-airbnbn/base` thing should be exported to separate `eslint-config-airbnb-base`,neutral
airbnb/javascript,eslint,2015-11-25T01:20:21Z,> install eslint-config-airbnb and use only the es5 stuff if you don't want the react depsso one. who wants only to lint es5 code will get also `/base`. and one who wants to lint `es6` code will also get `/legacy`. so even now its still overloaded in terms of install weight and time. and finally everyone gets react rules (for free. of course),negative
airbnb/javascript,eslint,2015-11-25T01:25:03Z,what about splitting in three packages?- `/base` will become `eslint-config-airbnb` with removed `/legacy` inside- `/legacy` will become `eslint-config-airbnb-legacy`- `eslint` will become `eslint-config-airbnb-react`. extended by `eslint-config-airbnb` with `eslint-plugin-react` in deps. (not sure eslint will pickup `eslint-plugin-react` from here. but it should)so every consumer will get proper amount of rules and deps,negative
airbnb/javascript,eslint,2015-11-26T17:10:20Z,hmm...if it's ok with you. i'm going to try a simpler way of combining readme files. so more focus can be done on the test cases. if possible. i'd even like to auto-generate the .eslintrc. as opposed to the tests.,neutral
airbnb/javascript,eslint,2015-11-30T08:59:47Z,> separately. is there an eslint rule that would enforce this?i did not see any rule like that. it would be hard to enforce. since `||` is legitimate in certains cases (boolean operations).,negative
airbnb/javascript,eslint,2015-11-30T21:41:13Z,it seems like an eslint rule could look for assignments where the right hand side contained a `||`? there very well may not be an existing rule though.,neutral
airbnb/javascript,eslint,2015-12-01T01:26:28Z,what eslint rule applies for each rule?. it would be nice to know...,positive
airbnb/javascript,eslint,2015-12-03T01:57:44Z,peer dependencies. peer dependencies are being deprecated in npm v3. can you please remove the peer dependency and just make `eslint-config-airbnb` use `eslint` as a normal dependency or whatever.,neutral
airbnb/javascript,eslint,2015-12-03T01:58:41Z,peer dependencies are not deprecated in npm 3 (which is already out). they just aren't installed by default. currently. you need to add `eslint` as a dependency to your own project.,negative
airbnb/javascript,eslint,2015-12-03T02:03:12Z,thanks for the super fast response. and okay. i guess i'm a bit sad. because i don't actually have a dependency on `eslint` since i'm using `gulp-eslint`. so it feels a little weird that i have to have both.,negative
airbnb/javascript,eslint,2015-12-03T17:09:12Z,this unfortunately means that babel transforms i use are now marked as invalid by eslint. although i'm able to fix this with adding the parser to my eslintrc file. thought i should mention.,negative
airbnb/javascript,eslint,2015-12-03T23:41:26Z,documents corresponding eslint rules. as a developer convenience. this also opens the door for 100% coverage of our rules to a corresponding eslint rule. and to create new eslint rules if they don't exist.ljharb justjake,neutral
airbnb/javascript,eslint,2015-12-03T23:42:17Z,awesome :+1:,positive
airbnb/javascript,eslint,2015-12-06T20:33:55Z,cannot override the `space-in-parens` rule. i am using the airbnb eslint rules. but i can not override the `space-in-parens`  rule. any idea? this is my file``` jsmodule.exports = {    "extends": "airbnb".    "rules":{        "space-before-function-paren": 2.        "space-in-parens": [2. "always"].    }.    "plugins": [        "react"    ]};```,neutral
airbnb/javascript,eslint,2015-12-06T20:38:41Z,hmm. that should definitely work - you may want to file an `eslint` issue?,neutral
airbnb/javascript,eslint,2015-12-06T20:41:33Z,yep. i will do that,neutral
airbnb/javascript,eslint,2015-12-14T23:29:26Z,this issue hurts me every time i want to use eslint-config-airbnb,negative
airbnb/javascript,eslint,2015-12-15T21:17:58Z,it's not from the react plugin. it's in core eslint - i suppose it could be moved there.,neutral
strongloop/strong-tools,eslint,2015-12-24T19:04:07Z,switch to proper eslint config. also extracts the usage message from the `slt` command itself to allow for easier formatting.,neutral
digitalbazaar/forge,karma,2016-09-16T22:21:39Z,yes. we know this is a major issue.  i got tasked with trying to figure some of this out and just haven't had the time to finish it.i took a similar approach to this patch but tried to change less lines of code and keep a similar style to what already exists.  basically loading files adds to the existing apis in the forge object.  removing the boilerplate and going towards basic commonjs with minimal other changes did work.  got it to work in node and with webpack and browserify for full and partial builds.  and got tests to work across various browsers via karma too.  unfortunately i ended up with too many options and froze on how best to deliver all this.one problem is how to manage the generated code.  currently you can mostly just run forge in all environments as is.  with the commonjs changes the browser users would need to to generate js and min.js for themselves or we'd have to commit it to a repo.  i find it awful to have to generate and check in huge js blobs on every commit or even every release.  i'm unsure what to do about that.  jquery uses an external repo for the built code.  in the past we've also stayed away from building the code for people due to the theory of not wanting to be responsible for generated code.  no one is going to look at huge js or min.js files to see if there are backdoors put in by forge maintainers or minifiers or whatever.  in a security minded library this seems like a real concern.  perhaps this is paranoid but we decided to not deal with the issue and let people use tools they trust.  but if all browser users will now have trouble using the library without fancy tools. maybe we have to figure it out.i'll try to find the time to clean up what i was doing and throw it into a branch for people to look at.,negative
chaijs/chai,mocha,2012-08-21T17:34:15Z,:)my use case is a little bit different. i want to do this on a very global level. where before i run _any_ test. the assertion counter (or flag) is reset. and after the test has run the counter/flag will be checked to see if it was hit at all. i use chai with mocha. and it's very easy to hook into before and after each test. but well in there i have no idea what to do with chai. i suppose solving that problem will inherently give you a correct counter as well. since you'd have to know whenever _any_ type of assertion were made. am i making any sort of sense? i feel like i might be confusing things.**edit**: the benefit of having a global counter or flag is of course that i can then make sure to fail any tests that didn't make any assertions at all. it happens a little bit too often that i misspell the code and mocha happily reports these tests as a-ok. which is clearly not right.,negative
chaijs/chai,sauce,2013-04-14T22:52:52Z,i understand and agree with most of your points. i saw the `test/browser/sauce.html` and figured that was something relevant.`testling-ci` is still pretty young as well and has a long way to go. it lacks per-branch testing and per-browser test cases (although that is an edge case itself).as far as the current badge goes. did you want me to pull out the failing browsers or leave them in there as an indicator? i know thanpolas and i had mixed opinions on it.,negative
algolia/vue-instantsearch,eslint,2017-06-14T14:25:04Z,chore(eslint): use eslint-config-algolia. in our way to make this module part of the instantsearch family. onepart of it is to use our eslint-config-algolia and enforce it.some rules are currently disabled on some parts that will need to berewritten.,negative
algolia/vue-instantsearch,eslint,2017-06-14T14:25:25Z,is there a dedicated eslint plugin for vue? we are using eslint-plugin-html,neutral
algolia/vue-instantsearch,eslint,2017-06-14T14:26:33Z,also updated all deps,neutral
algolia/vue-instantsearch,eslint,2017-06-14T14:50:47Z,> did you check all breaking changes of the dependencies?yes i checked the changelogs and could not find anything obvious or that should break for us.,neutral
algolia/vue-instantsearch,eslint,2017-06-14T14:51:06Z,did you try eslint-plugin-vue?,neutral
algolia/vue-instantsearch,eslint,2017-06-14T14:51:52Z,no i tried none of them ;) because haroenv told me about the algolia setup and i didn't know how much it was going to conflict,negative
algolia/vue-instantsearch,eslint,2017-06-15T21:56:29Z,updated pr to only include eslint changes and no other package upgrade.,neutral
algolia/vue-instantsearch,eslint,2017-06-16T07:51:49Z,this should be ready to merge now. only drawback being that `<script>first line` being automatically formatted.this is being sovled by prettier/eslint/vue right now but ultimately you don't have to think too much about it. it's automatically reformatted.,neutral
velesin/jasmine-jquery,jasmine,2013-04-27T03:01:04Z,thanks.,positive
velesin/jasmine-jquery,jasmine,2013-04-27T20:16:56Z,thanks!,positive
velesin/jasmine-jquery,jasmine,2013-04-28T02:31:09Z,can you make some tests please?,positive
velesin/jasmine-jquery,jasmine,2013-05-02T15:37:22Z,testing css transitionend . i'm trying to check if function on the end of a css transition:``` coffeescript$("#test").on "transitionend mstransitionend webkittransitionend otransitionend". (e)->      console.log "trans end"```and tracking it in the jasmine test like so:``` coffeescriptdescribe "checks when animation finished". ->      beforeeach ->        loadfixtures "carousel"        trans = spyonevent('#test'. 'transitionend mstransitionend webkittransitionend otransitionend');        jasmine.clock.usemock()     it "should check when transition ended". ->        expect(trans).not.tohavebeentriggered()        jasmine.clock.tick(1001)        expect(trans).tohavebeentriggered()```i've added styles into a spec.css. the code fires in the actual html. but i can't get it to fire in the test.  i'm not sure runs or if i am missing a good way to test it?,negative
raszi/node-tmp,mocha,2017-07-11T17:59:02Z,tmp.dirsync and tmp.dir behave differently on invalid tries option. found during refactoring tests with mocha #137 #141dirsync will handle -1. undefined. 0 and null as expected while dir will only handle -1 as expected. failing on 0. undefined and null.,negative
raszi/node-tmp,mocha,2017-07-11T18:16:30Z,in germany we say `messen kommt von mist`. same goes for testing.,neutral
raszi/node-tmp,mocha,2017-07-13T18:35:06Z,raszi you're welcome. the existing tests that spawn child processes are still missing. i need to go through the code to find out how to do it with mocha...,neutral
videojs/video.js,standard,2016-03-15T15:52:50Z,there is no eta. unless we decide not to merge this (low probably right now and seems simple enough). the main blocker is us testing and verifying it. once we can do that. we can merge it in.,neutral
videojs/video.js,standard,2016-03-17T16:16:17Z,yeah. testing the swf is very tricky. we've generally ended up verifying things manually.,negative
videojs/video.js,standard,2016-03-19T11:22:45Z,same issue .full screen button not working  when using videojs in phonegap .plz anyone help me thanks in advance,positive
videojs/video.js,standard,2016-03-25T07:33:03Z,hi.any one can help me to resolve full screen issue .i m facing issue in video full screen,positive
sitespeedio/browsertime,selenium,2014-11-03T12:16:12Z,start/stop browsermobproxy & the selenium server outside of browsertime. one cool feature would be if the browsertime.js (running without cli) would expose methods for starting/stopping the bmp & the selenium server. then when we run bt from sitespeed.io with many url:s. we will not have to wait for start/stop time for each run.,neutral
danigb/soundfont-player,uglify,2016-01-09T01:29:35Z,add missing dependencies. hi. i wanted to run the examples locally and `npm install` failed because `note-parser` wasn't in package json. it also failed because i don't have `browserify` and `uglifyjs` installed globally. so i added those as devdependencies so it's not necessary to already have them globally installed.,negative
danigb/soundfont-player,uglify,2016-01-09T20:13:27Z,no problem. thanks for the quick response. and also the library!,positive
jerairrest/react-chartjs-2,mocha,2016-08-18T23:03:36Z,hey lutovich .i have been using mocha so far. but would be more than happy to checkout jest.if you have code by hand please be kind to submit a pr and i'll take a look.cheers!,positive
prettier/prettier,eslint,2017-01-11T03:00:02Z,less/no config. autofix for everything babel supports (like babel-eslint). however only deals with styling unlike eslint (a linter + autofixer). accounts for max-line-length automatically,positive
prettier/prettier,eslint,2017-01-11T05:01:11Z,it's an alternative to enforcing style by configuring a lot of little "nits" in eslint. and instead just forcible re-printing everything. if you are using xo which is built on eslint. it's depending on eslint's `--fix` behavior which doesn't actually fix a wide array of style. for example the stricted eslint config i know happily passes all of these:```jsfoo({ num: 3 }.  1. 2)foo(  { num: 3 }.  1. 2)foo(  { num: 3 }.  1.  2)```prettier always ensures that 100% of your code is formatted consistently. i hope you try it out. and it's fine if it's not for you!,positive
prettier/prettier,eslint,2017-01-11T18:06:05Z,any chance we could start small with what tehshrike suggested?> why not just leave semicolons alone. rather than adding or removing?as an option. so: `addsemicolons` which would default to `true`actually. this would be enough for me. as `eslint --fix` will remove semicolons for me anyway. so if prettier misses removing a semicolon. eslint will do it. so if i had the ability to prevent prettier from adding semicolons then i'd be good :),negative
prettier/prettier,eslint,2017-01-11T22:24:03Z,> single quote settings should not affect jsx attributes. i've never seen anyone write `<div classname='a' />`i've definitely seen this. usually in any react codebase where eslint was set to single quotes.,neutral
prettier/prettier,eslint,2017-01-12T13:59:18Z,lint like ci integration. i've been using scalafmt at work which has a feature that you can enable to prevent it from compiling the code if it's not properly formatted. this prevents code from going through ci if it's not properly formatted.obviously this is a huge feature which would require first of all the ability to run prettier on a directory instead of a single file at a time. but i think it could be a great addition.humans are known to be bad code formatters. so code will get through review even if it's not formatted properly. my dream is that this could replace eslint (code formatting rules). and in order to do that i feel like it would have to have some linting mechanism that it could break ci if it's not formatted on commit.maybe i'm reaching way to far here. just wanted to put the idea out there.,positive
prettier/prettier,eslint,2017-01-12T15:56:16Z,i'm going to reach even further.i imagine a workflow where prettier is run using something like a precommit hook. i check out the code from the repo. prettier formats the code to whatever my preference is. then on commit it formats the code back to a common format for git diffing. for example. if my company's coding style requires i use semicolons but i personally don't like them. i can simply hide them when working on code in my editor. but when i commit they will automagically be put back in and nobody's the wiser (especially git),positive
prettier/prettier,eslint,2017-01-12T20:39:17Z,yep! all of these are great ideas and what i envision this becoming. it actually shouldn't be too hard; we already support passing in multiple files (so people are doing `prettier src/**/*.js` to lint whole folders). we could easily make it "check" if all files are formatted instead of doing the actual formatting (a `--check` flag instead of `--write`).> for example. if my company's coding style requires i use semicolons but i personally don't like them. i can simply hide them when working on code in my editor. but when i commit they will automagically be put back in and nobody's the wiser (especially git)this is exactly the kind of thing this project empowers you to do. and it's a great idea. it's also why we won't ever have a project-wide config file; one of the reasons those exist is so things like editors can pick them up and automatically set the right formatting settings in your editor. but we don't care about that. you can format the code with whatever settings you personally like across *any* projects. and just make sure that the project reformats it with the project-specific settings before commit.tooling integration will be the next step after we fix all the show-stopping issues where we generate invalid js code. that's higher priority right now. but we'll think through this soon.,positive
prettier/prettier,eslint,2017-01-12T23:01:39Z,i've done something like this for webpack. ci checks if source code is equal to beautified source (using js-beautify). if not ci fails and prints a diff (in patch format). works great to ensure all source code is consistent.,positive
prettier/prettier,eslint,2017-01-13T00:07:49Z,i would really love to use this if i can get prettier to output code that will pass my large corporate eslint rules. right now. it looks like the two issues i have are spaces between array braces [] and contents `[ 1. 2. 3 ]` is output but my lint hook requires `[1. 2. 3]` and no semicolon ending the last line of code. so i get `})` instead of `});`,positive
prettier/prettier,eslint,2017-01-13T02:07:23Z,jlongster . sorry. i wasn't clear about the 2nd issue. after i run prettier. i lose the semicolon on my last line of code. that's the issue i was running into. i need every statement to end with a semicolon. including the last one. maybe that's actually a bug then? i can type up an example case for you if so. if i can get your tool to pass our eslint requirements. i might be able to integrate it into our build process and save our hundreds of developers the daily headache of trying to fix lint issues.,negative
prettier/prettier,eslint,2017-01-13T04:00:53Z,hey nzakas. thanks for the kind comment! first i want to say that i hope i never came off as disrespectful towards eslint. i wrote my post and readme to focus on a specific problem that i've seen in teams. but nothing that is the fault of eslint. since this project has taken off and i want to be a good citizen of the ecosystem. i plan on updating the readme to not call out eslint specifically to make sure it doesn't look like we're bashing it.i can definitely see how eslint evolved that way. a pluggable system like that is incredibly hard to build and maintain since you're scope is broad. but the advantage is that it's flexible and serves hugely diverse set of needs. kudos to that!i really like the rules that enforce certain semantic characteristics. and having time to think about it more. i'd like to talk more about how we can make it easy to integrate prettier and eslint. i think this could solve the semicolon debate. too: if i can generate code with semicolons and pass it through eslint's fix process with the "no semicolon" rule on. people who really don't want semicolons could set that up. that allows this project to be focused and opinionated but leverage eslint's flexible toolchain.of course. the main use case for integrating would be to use eslint's other rules for semantic checks. it makes no sense for us to reinvent that (nor am i interested in it).is there a place we can talk about integration? it's easy in theory. but the devil's in the details. and i'm particularly concerned about performance because a naive `prettier foo.js | eslint --stdin` probably parses the source twice.> i'd also strongly encourage you to avoid trying to read eslint configuration.thanks. that helps clarify a lot. i had a hunch that it would be difficult. and someone else can create another project that attempts this and passes in the detected options to us if they want. i don't plan on doing this.> that said. the eslint team has discussed in the past creating a generic style guide format that wasn't directly tied to individual rulessounds neat! as you said afterwards. i'm not sure how that would tie into this yet. unless there are a few tweaks we could make to all be on the same page. i'm definitely open to talking about it (not just me. but many other people that are getting involved too. i don't have any interest in deciding these rules for other people. i'm seeking the majority).> in any event. i just wanted to reach out to let you know that we're happy to be a resource for you as you get this project up and running. between the eslint and jscs teams. we have a lot of experience in this area. so feel free to reach out any time.thanks! much respect and love to you all. i look forward to collaborating!,negative
prettier/prettier,eslint,2017-01-13T14:09:51Z,kentcdodds that looks cool. that's what i'm aiming for -- keep this project focused and let editor integration be where things like that happen.i'm curious: is the only reason you want it dropping semicolons? for large files. i believe that will be pretty slow. i'm not happy with prettier's performance itself on ~2000 line files (it's not terrible. something like 600ms. but i want to improve it). i'd like the formatting to feel as instant as possible. and eslint seemed to add another 1s on the large file when i tried it.,positive
prettier/prettier,eslint,2017-01-13T18:18:05Z,that's certainly an option. as is continuing to use eslint as the majority of the ecosystem does. forking.  however. will not likely help achieve the goal of "gofmt for js",neutral
prettier/prettier,eslint,2017-01-13T19:09:50Z,fragmentation already exists. configuration/extensibility is how you reduce fragmentation by allowing everyone an easy path to get on the same tool. as eslint has done. adding another opinionated tool to the mix doesn't reduce fragmentation. it increases it.,negative
prettier/prettier,eslint,2017-01-13T19:40:24Z,> fragmentation already exists. configuration/extensibility is how you reduce fragmentation by allowing everyone an easy path to get on the same tool. as eslint has done. adding another opinionated tool to the mix doesn't reduce fragmentation. it increases it.i would bet this project will not increase fragmentation if we stay zero config. from what i've seen. many people using small variants of different eslint config have been happy to jump on this and there's been less fragmentation so far. i agree that a few options (like the ones we have) help bring everyone together. but there are still certain ones that we won't include (like semicolons) but the community is already fragmented on those (people can use standard if they want).,negative
prettier/prettier,eslint,2017-01-13T22:02:49Z,i'm agree with jlongster that it is not main priority. there are existing workarounds.kentcdodds and dtinth such things don't make any sense for me. sorry but they were unnecessary. :)i think it was just enough to think that _"the formatter should be first. the linter should be second"_.kentcdodds. btw. side note: ci is failing because you missed `eslint` in deps. and don't see value for atom or sublime plugin. why not just use `prettier` plugin and `linter-eslint` it works great as i already mentioned.,negative
prettier/prettier,eslint,2017-01-16T04:37:29Z,despairblue thanks a lot for this. my gut feeling. which i mentioned in #212. is that this is going to introduce several awkward situations when combined with other syntaxes. take a look at the first diff in vjeux's example:```patch-      return observable.concat(-        observable.of(editor).-        this._newproviderevents.mapto(editor)-      );+      return observable+        .concat(observable.of(editor). this._newproviderevents.mapto(editor));```if we enable breaking on `.`. no matter how do it. the above is going to happen. this is because it exists before the method call. we cannot try inner expansions first because it would be horrible for performance and adds a *lot* of complexity. we do it in a very few other uses cases but it makes the code a lot harder to understand (i think in 2 places we use `conditionalgroup` for this). and i think even if we tried it. we would get mostly back to where we are now. it's just not worth the complexity.the maximum line width at the end of the day is a suggestion. the printer will happily print past it if there's nothing it can do. there's only so much we can do to break things up. if the user has a really long lookup. they should break it up into multiple lines. i think in all of the edge cases we are trying to fix here. the user should just fix their code if they really don't want it all on one line. i think forcing them to introduce intermediate variables could actually help clarify code.as for comments. yeah. inline comments are very weird and will do things like trigger breaking at certain points. the user can manually move them up if they don't want that.i don't think this is the right direction to take. `.` is such a pervasive operator in js that breaking on it introduces a whole new range of formatting situations that we have to handle and i don't think we should go through the work to do that. you original real code looks fine to me. even if it crosses the threshold:```jsfunction* sendmail() {  try {    const pdfstream = yield contractsservice.getlandlordcontractstreamfrombooking(      booking    );  } catch (error) {    report(error);  }}```the great thing about this formatter compared to eslint is you don't really have to worry about it when this happens. you just have one line that's pretty long. that's ok. we won't consistently warn you about it like eslint and force you to disable the max-len rule just for that line or anything. that line can just be a little longer :),negative
probot/stale,standard,2017-08-27T05:01:30Z,update probot and swap to standard lint. since stale is the most popular probot app. i figured it should be the first to swap to standard lint!also. this was my first time bumbling around in stale so i wasn't sure the best way to test i didn't break anything,negative
sequelize/sequelize,jasmine,2012-11-05T13:36:53Z,haven't worked with jasmine before but should be fine. should i add it in /spec or /spec-jasmine?op 4 nov. 2012. om 20:29 heeft sascha depold notificationsgithub.com het volgende geschreven:> —> reply to this email directly or view it on github.,positive
sequelize/sequelize,jasmine,2012-11-05T19:58:59Z,actually. this test already exists. and works for postgres. mysql and sqllite. it is in: spec-jasmine/dao.spec.jsand is 'only updates fields in passed array'by this test still passing it proves this is working (along with the other modifications i made).  being able to test array columns is way out of scope for this and should only be used by people who want to twiddle with this and figure out what is going on.as i said above this really will help people so that they know when running their tests (outside of sequelize) that their updated values in postgres were really updated and reflected in their model.i did go ahead and fetch upstream again as well.,neutral
