electron-userland/electron-download,standard,2017-01-19T19:44:39Z,alright. thanks for the quick reply malept !,positive
electron-userland/electron-download,standard,2017-02-02T19:50:28Z,any update? can i read the discussion anywhere or is it a closed discussion?,neutral
electron-userland/electron-download,standard,2017-02-02T19:55:44Z,siilwyn we've agreed to move to drop node < 4 support (an official announcement will hopefully be in the near future). and so i've opened #45 as a result.during that discussion. we discussed this pr in particular. some of the maintainers have reservations about accepting this from a conceptual point of view. kevinsawicki or zeke. could one of you chime in so i don't misconstrue what was said during the meeting?,negative
serverless/serverless,mocha,2017-05-19T14:22:03Z,closing since our tests started to incorporate such toolings.,neutral
shama/webpack-stream,standard,2016-04-29T17:26:03Z,preserve added / non-standard vinyl file object properties. i have some custom gulp plugins that append properties to the vinyl file object. this is similar to what gulp-sourcemaps does. i notice this plugin generates a new file. but does not carry over any additional properties from the original file object. i might be missing something. but i don't see any harm in doing that. and it might make this play better with certain plugins. i imagine a simple `object.assign()` on the options passed to `new file()` in `preparefile` would work. with the contents being set after the instance is created. i can put together a pr if this is a desirable feature for this project.,negative
janl/mustache.js,eslint,2016-02-22T19:15:15Z,had to fix one issue due to breaking change in v2 of eslint; .eslintrc rule `space-after-keywords` got renamed to `keyword-spacing`. commit amended and pushed before merging.,neutral
paulmillr/chokidar,coveralls,2015-10-29T23:29:45Z,no. that's just coveralls being flaky. don't worry about it.,neutral
paulmillr/chokidar,coveralls,2015-11-04T15:17:15Z,the failures in travis appear to only be because of bugs in coveralls that don't seem to be getting resolved by re-running the jobs.all the tests passed.,neutral
valor-software/ngx-bootstrap,sauce,2016-11-29T09:39:13Z,e2e saucelabs,neutral
valor-software/ngx-bootstrap,karma,2016-11-17T17:58:08Z,refactor(karma): replace ng-cli karma configuration to webpack. note: for now there are issue with awesome-webpack-plugin. thus test running doesn't works for now,neutral
valor-software/ngx-bootstrap,karma,2016-12-05T16:11:21Z,saucelabs configuration for karma,neutral
Azure/autorest,standard,2017-04-12T23:23:36Z,testmania. vast amounts of new features call for some more tests to make sure that we- know what we're doing- detect if those features are broken by a prstatus:- syntax error detection (olydis: review bad test cases - there is some incocnsistency)- consistent message processing (same even for parsing config file)- more standard source location syntax in console output- source locations for config file syntax problems (olydis: merging config blocks needs source map support)- performance improvements (less async. more cowbell)- uri tests for linux active (got rid of platform dependence by replacing `path.isabsolute`)- optimized travis ci,negative
airbnb/javascript,eslint,2017-01-11T17:40:34Z,when you refer to non-top-level rule overrides. do you mean those that are specified in `.eslintrc` files that are _not_ at the root of your project?this tool does not run your config[s] against your source code. all `eslint-index` does is parse an `.eslintrc` file and compare it against all available rules for both eslint and any plugins you have added and specified in your config's `extends` value.in order to achieve what you are suggesting. the tool would need to:1) gather (or be provided with) a config file2) parse the config file to gather all the rules you have specified3) run the config file against your source code (through eslint)4) incrementally disable rules (setting them to `off|0`) and running the modified config against your code again and again5) gather any rules that triggered a linting erroris that correct?,neutral
airbnb/javascript,eslint,2017-01-11T21:35:45Z,also. what non-standard js syntaxes are you using? `eslint-plugin-react` does have some bugs with flowtype. for example.it's possible that specific syntax in a specific file is breaking `eslint-plugin-react` - in which case. we should figure that out and file an issue there.,neutral
airbnb/javascript,eslint,2017-01-12T10:36:44Z,i developed the tool to assist me in writing a config for my company (`eslint-config-supermind`). with so many rules available in eslint itself plus all the rules provided by plugins. i found it difficult to keep track of which rules i had used and which ones i hadn't. this became all the more difficult when upgrading `eslint` and any plugins—i wouldn't know what new rules had been added. `eslint-find-rules` went a long way in helping with this. but i felt it lacked the granular functionality i desired—so i developed `eslint-index`. being able to filter rules by status (`omitted|off|warn|error`). by plugin (`react|jsx-a11y`) or the core eslint rules _and_ having doc urls outputted alongside rules in the console has been very useful to me.for example. if i upgrade `eslint` or any plugins and want to see which rules i haven't specified (because they are new) _and_ for these omitted rules. display links to the docs alongside. i can do:```eslint-index .eslintrc.js --status omitted --docs```,negative
airbnb/javascript,eslint,2017-01-17T14:28:09Z,update react.js. according to the eslint-plugin-react docs allowmultiline has a default value to be true.by default. braces spanning multiple lines are allowed with either setting. if you want to disallow them you can specify an additional allowmultiline property with the value false.,positive
airbnb/javascript,eslint,2017-01-22T07:07:26Z,my thoughts are that there are still companies using jscs but who may want to start using airbnb's style guide.  this could be one of their first steps to switching to eslint.  at least it is with the company i am currently at.will get a pull request up soon.,neutral
airbnb/javascript,eslint,2017-01-22T23:03:37Z,in most cases. you should be exporting one conceptual thing from a module. in other words. if you have both "foo" and "boo". those are *two modules* and thus should be `export default`ed from two separate files.if you insist on having them in the same file (there are some use cases where this makes sense. but not many). then you should be using multiple named exports.when exporting one thing. and inline export is nicer because it ensures that you can not change the binding later (ie. `export default function foo() {};` is better than `function foo() {} ; export default foo;`)as far as positioning. there will soon be a linter rule in `eslint-plugin-import` that will require that all export statements are grouped together - so i'd recommend grouping them together and putting them at the bottom of the file.,neutral
airbnb/javascript,eslint,2017-01-23T06:03:25Z,`requireobjectdestructuring` and `requirearraydestructuring` → `prefer-destructuring``requirepaddingnewlinesafterblocks` → `padded-blocks`i think `disallowarraydestructuringreturn` has a rule as well?either way. the eslint team has committed to creating or adapting rules such that 100% of jscs enforcement is possible with eslint - they're pretty close to complete.,negative
airbnb/javascript,eslint,2017-01-25T19:38:06Z,i'm sorry to hear that. i'm going to reopen it. however. since it's still pending an eslint rule change.feel free to unsubscribe from the thread if you're not interested in further participation.,negative
airbnb/javascript,eslint,2017-01-31T04:23:57Z,atom beautification config.. the default rules for the "atom-beautify" does not play very well with the airbnb eslint config rules. also. the config options available are also not enough to be tuned.is there a plugin or config options available for auto beautification in atom while still maintaining the consistency of airbnb eslint rules.,positive
airbnb/javascript,eslint,2017-02-01T05:32:46Z,i think the most common approach is for editors to merely show violations. and for any autofixing to be done on the command line with `eslint --fix`.,neutral
airbnb/javascript,eslint,2017-02-01T12:11:23Z,cool. let me check with the beautification plugins to see possible adherence to airbnb styling guide.,positive
paulmillr/es6-shim,mocha,2014-04-17T05:10:03Z,renamed this to reflect that we should switch away from mocha (for a number of reasons: not working in browsers we need to shim is a big one. plus. not working in testling). and then once we're using tape. use testling-ci/browserify to do automatic browser testing.,neutral
paulmillr/es6-shim,mocha,2014-04-17T15:11:49Z,mocha supports tape,positive
paulmillr/es6-shim,mocha,2014-04-17T15:12:39Z,sorry. not tape but tap — test anything protocol. testling-ci / browserify should work great with it,positive
paulmillr/es6-shim,mocha,2014-04-17T16:04:42Z,that's true - but it also requires es5 features. which makes it inappropriate to use in a library that targets es3 browsers as well.,positive
paulmillr/es6-shim,mocha,2014-04-17T17:45:46Z,question: do we actually want to support es3 browsers? their market share is like super low,positive
paulmillr/es6-shim,mocha,2014-04-17T18:24:43Z,fwiw i'm happy to do the work to convert the tests :-) i've already got a branch in-progress with more than half of them converted anyways. it's not much of a burden to keep the support threshold super low. so we might as well. bdd-style test libs don't add much value imo anyways :-),positive
paulmillr/es6-shim,mocha,2014-04-17T19:06:09Z,i personally love bdd. it's very easy to read code. cscott ?,positive
algolia/vue-instantsearch,eslint,2018-08-06T16:14:58Z,my bad. we need to release `eslint-config-algolia` first since we made the changes to the vue configuration. then we can drop the changes to the `eslintrc` in this pr. then merge.,negative
velesin/jasmine-jquery,jasmine,2014-06-12T21:19:33Z,+1  i spent so much time trying to get it to work. and ended up that i installed it via `npm`,neutral
velesin/jasmine-jquery,jasmine,2014-06-25T08:55:45Z,+1 it would be great to to have this published on `npm` !,positive
velesin/jasmine-jquery,jasmine,2014-07-04T09:54:25Z,getting an error while using loadfixtures with consolereporter. hii am trying to load html fixtures to my test suite using the `loadfixtures` function. but i am getting a failed `xmlhttprequest` error. while trying to run jasmine using consolereporter.here is the spec's relevant code ..```it("should have play animation button disabled. initially!". function() {        loadfixtures("uifixtures.html")        expect(jquery("#play-animation")).tobematchedby('.disabled');    });```and here is the error i am gettting on my terminal(using consolereporter for jasmine):```error: network_err: xmlhttprequest exception 101```what might be the possible issue here?thanks in advance.. :)edit: i have also changed default path to find fixtures to a different one. using this function(in specrunnner.html)```jasmine.getfixtures().fixturespath = "sample_data"```,negative
webrtc/samples,selenium,2016-05-03T05:13:54Z,looks like firefox beta doesn't like selenium-webdriver anymore :-/,neutral
videojs/video.js,karma,2014-06-11T16:27:21Z,where did we end up on this one?,neutral
videojs/video.js,karma,2014-06-11T16:28:32Z,did you get a chance to try that out? other than some documentation. it should be ok.,neutral
fergiemcdowall/search-index,jasmine,2015-03-01T16:19:39Z,this means that you can test only indexing by running `jasmine-node --verbose test/spec/0indexing-spec.js` and so on for each test spec file,neutral
fergiemcdowall/search-index,jasmine,2015-03-03T14:18:57Z,i'm currently investigating vowsjs as an alternative to jasmine.the advantage of vowsjs is that its truely async. and works with callbacks.would you mind switching? of course i will rewrite all existing test.,neutral
fergiemcdowall/search-index,jasmine,2015-03-03T15:44:07Z,we could definitely mix tests. some could be jasmine and some could be vows.,neutral
fergiemcdowall/search-index,jasmine,2015-03-03T16:09:21Z,you just change the value for 'test': there should be a long string of 'jasmine' commands seperated by '&&'- you simply append a vows command## apologies for brevity- this message was sent from my mobile> on 03 mar 2015. at 16:51. holger-will notificationsgithub.com wrote:> > ok. so there would be another test runner script in packege.json. but where should the vows test files go?> > —> reply to this email directly or view it on github.,neutral
fgnass/domino,mocha,2013-11-27T20:50:37Z,update mocha/should dependencies.. tested that latest releases of mocha and should do not cause any problems with domino's test suite.,neutral
sitespeedio/browsertime,selenium,2015-12-04T23:10:41Z,one thing to note though: since har creation. connection throttling etc. depends on a local proxy. those features won't be available when running a remote browser. you'd have to pass the --noproxy option when running with a remote selenium server.,neutral
jupyterlab/jupyterlab,karma,2017-03-15T16:15:15Z,update karma and mocha deps,neutral
jupyterlab/jupyterlab,karma,2017-03-17T12:48:10Z,move tests. after the big split. we can move the tests to the individual `packages`.   that way each test can be run from that package. or from the top level using `lerna run test`.   we are hoisting dev dependencies. meaning that karma and mocha would only be installed at the root of the repo.,neutral
expressjs/express,mocha,2013-12-03T21:27:29Z,i'm not a fan of grunt. but you don't really need make to hack on express either. just mocha,negative
UKHomeOfficeForms/hof-form-wizard,mocha,2017-11-07T15:12:32Z,so you would have done "unit": "_mocha" instead?,neutral
mongoosastic/mongoosastic,eslint,2016-06-09T14:54:34Z,bump(deps): upgrade elasticsearch and eslint,neutral
prettier/prettier,eslint,2018-02-12T20:13:44Z,is it possible to setup "allman" braces style?. is it somehow possible to configure "allman" braces style instead of default "k&r" style? it would be nice to have such feature. i thought to apply tslint --fix after that but tslint doesn't support auto fix for braces style (overall brace-style is absent in tslint and can be inherited from eslint via plugin).,neutral
prettier/prettier,eslint,2018-02-13T08:51:39Z,you only need both if you want eslint to warn you about prettier violations. if you only want to disable formatting rules. but rely on prettier list different to identify violations. then you don't need both.,positive
prettier/prettier,eslint,2018-02-13T08:53:57Z,using eslint-config-prettier without eslint-plugin-prettier provides a better experience in the editor in my opinion. but using eslint-plugin-prettier makes a lot of sense in ci or in projects with lots of public contributors where there's a chance they'll have eslint tooling configured but not prettier tooling. so it all depends on your use-case.,neutral
prettier/prettier,eslint,2018-02-13T20:46:35Z,one other thing... many editor integrations for prettier have an "eslint integration" option which causes the editor to use `prettier-eslint` instead of `prettier`.,positive
prettier/prettier,eslint,2018-02-21T17:20:11Z,prettier’s goal is not to be flexible. as the page i linked above says:> by far the biggest reason for adopting prettier is to stop all the on-going debates over styles.> the more options prettier has. the further from the above goal it gets. the debates over styles just turn into debates over which prettier options to use.as you said above:> but when you consider a project template that comes with default linter rules on and you have n projects to create (and by n i mean "many"). it is not efficient to turn linters in every project. it would be more efficient to adapt prettier options.if we added a whole bunch of options. you would have to configure them all each time you created a new project. > while creating many projects turning off linters for every project is just one more step that this tool is creating.you have to enable prettier for each project. too. prettier makes this step pretty easy:```shellsession$ npm i -d eslint-{config.plugin}-prettier$ npm i -d --save-exact prettier```then. in your `.eslintrc.yml`:```yamlextends:  - plugin:prettier/recommended```that will disable all rules that conflict with prettier’s styles. while enabling a rule that gives you a description of what needs to be changed to follow prettier’s styles.,positive
prettier/prettier,eslint,2018-02-22T20:16:20Z,i understand the dilemma yall would have from an internal design and scope perspective but i think this is what many people are running into with this situation. people are wanting more customization because they like your tool and a lot of people promote it. however. the whole purpose of a lint is to standardize your code to a best practice for your project not the other way around. i personally write a bunch of vue apps so i like to use the eslint standard for vue so it basically does an automated peer review. i dont really expect a formatter to 'hold me to a standard' especially since it doesnt throw errors because something isnt syntactically correct. best practices and javascript changes on a daily basis. so it would be nice is prettier was as configurable so the community could share configs and be able to make it as customizable as tools like eslint. i like prettier. it just cant do what i want it to do so i was left using the built in vs code formatter. maybe one day it will :),positive
prettier/prettier,eslint,2018-02-25T18:08:07Z,xixixao the prettier repo has eslint-plugin-prettier set up. so if you enable eslint integration in the atom package. it should format correctly.,positive
prettier/prettier,eslint,2018-02-27T05:50:09Z,`standard` doesn't allow any option nor to configure any `eslint` rule. so the fact that `standard` users put a space after the function name doesn't necessarily means they "like" this style. it can also means they "tolerate" it because they found other benefits using `standard` such as having a predefined rules. no config etc... there is no way to know other than conducting a survey.if `standard` would allow to turn that rule off or to change its config and if those users made the deliberate choice to enable (or to not disable) the space after the function name. then that would be an argument in favor of the popularity of this style. but it's not the case.a better indicator is: how many people not using `standard` (therefore making a deliberate choice regarding each particular style) write code with a space after the function name?from the various comment it seems `browserify`. `moment`. `rollup` and `vue` do not use `standard` and choose to use a space after the function name.that can be compared with the many other projects mentioned in this thread not using a space after the function name.that said. even if a particular choice made by `standard` is not a good indicator of popularity among users. it should be taken in account to determine the amount of code changes generated when using prettier on a project using `standard`.,neutral
prettier/prettier,eslint,2018-03-05T13:48:43Z,we could also create `prettier/plugin-typescript-eslint-parser` and `prettier/plugin-flow-parser` packages to give people an alternative if they encounter bugs in babylon’s implementation.,neutral
prettier/prettier,eslint,2018-03-11T11:23:34Z,i agree. it's not configurable in prettier. (like it is in eslint `no-mixed-operators` rule)not really happy that    if (!inputcolon && inputkey || inputcolon && inputvalue) return;is converted in     if ((!inputcolon && inputkey) || (inputcolon && inputvalue)) return;,neutral
prettier/prettier,eslint,2018-03-12T10:34:05Z,whosesomebody you can also use `prettier-eslint`.,neutral
prettier/prettier,eslint,2018-03-12T15:36:47Z,coolemur we’re willing to fix bugs in prettier (i’m sure the `prettier-eslint` folks are too). it’s just that formatting changes take a lot of discussion to ensure that we make the best decision. right now it looks like we’ll be changing this behavior or adding an option. but i can’t say for sure. `prettier-eslint` will allow you to run whatever eslint rules you’d like over your code after prettier runs. and eslint is actively maintained so you shouldn’t have issues there.,positive
docpad/docpad,standard,2015-02-18T05:23:06Z,implementing this now.,neutral
docpad/docpad,standard,2015-02-18T13:05:34Z,> implementing this now.w00t w00t!  :+1:,neutral
docpad/docpad,standard,2015-02-18T13:06:54Z,can someone update this issue’s labels to reflect its “being implemented” status?,neutral
docpad/docpad,standard,2015-02-18T13:22:16Z,good catch. will close at the release.,positive
sequelize/sequelize,mocha,2014-05-16T19:22:00Z,i'm using mocha and the test just throws an error. i can set up a simpler test to try and catch the error though i'm pretty sure its due to the fact that loginstub has no associations. queries on user that include loginstub work find.before i spend more time i wanted to verify the behavior of include. is it true that a single `user.hasmany(loginstub);` call will enable the `include` statement for both the `user` and `loginstub` models? e.g.``` jsloginstub.find({   include: [user].   where: { my_key: 'a_key' }}).complete(function(err. stub) { ...});```and``` jsuser.find({   include: [loginstub].   where: { my_key: 'a_key' }}).complete(function(err. user) { ...});```currently only the second one is working for me.,negative
postcss/postcss-cli,standard,2017-12-15T19:20:04Z,fixes issue with maps flag not working. cli arguments seem to be handled differently in different environments. from within the tests (using execfile) all is well (therefore they're passing). however when using a standard cli (zsh) the structure of the options looks very different. do a dump of options while running tests (index.js ~:189ish after options is set) and you'll see that the maps key is present when the `-m` flag is set. however. if you run postcss as a package from a project. you'll see that the maps key is now missing. the main problem is the missing "maps" key when sending the options object to the `process` method. not wanting to make too big of a change i copied the options object back on the the `ctx` object to avoid any problems.all tests are passing except 'error invalid --config' but that appears to be a pre-existing issue.,neutral
caolan/async,mocha,2016-05-05T16:09:46Z,сonvert some tests to mocha. megawac. take a look at it.,neutral
caolan/async,mocha,2016-05-05T16:52:53Z,heck yeah! thanks ezubarev!ping #849,positive
caolan/async,mocha,2016-05-05T19:42:21Z,cool. amazing!,positive
caolan/async,mocha,2016-05-05T20:19:32Z,> another thing. i just noticed ava doesn't support browsers -- only jsdom.yes. but it runs on the tape protocol which works in the browser,neutral
caolan/async,mocha,2016-05-06T07:56:20Z,convert the rest of tests to mocha. the remaining tests were ported. nodeunit was completely removed. have a look. resolves #849 megawac. aearly,neutral
caolan/async,mocha,2016-05-07T18:38:24Z,megawac. i replaced assert with expect in tests on asyncify. in other cases as i can see it's usage will not lead to less transparency in debugging. however i don't mind if anyone wants to make use of `chai.expect` somewhere else.,neutral
caolan/async,mocha,2016-05-07T19:44:54Z,i'm sure any confusing remaining ones will be fixes post merge. thanks a bunch ezubarev,positive
caolan/async,mocha,2016-05-09T04:34:04Z,you're welcome.,positive
nightwatchjs/nightwatch,mocha,2016-06-17T11:26:21Z,fix silently swallowed exceptions. when something goes wrong and neither a test suite nor a finishcallback are given.the processlistener in run.js swallows the error. this happens when you are usingmocha as a test runner and have a syntax error or throw an exception outside ofthe test suite (e.g. `require('./some-spec-helper')` while the file does not exist),negative
mashpie/i18n-node,jshint,2016-07-20T21:21:19Z,same in travis ;)```> jshint --verbose .i18n.js: line 151. col 105. line is too long. (w101)1 error```too bad on nice expressive naming,negative
buildo/react-components,eslint,2016-11-21T09:34:34Z,eslint errors. ## descriptionthere are several `eslint` errors after last prs on `buildo/eslint-config`## how to reproduce- {optional: describe steps to reproduce bug}## specs`npm run lint-fix` :)## misc{optional: other useful info},negative
buildo/react-components,eslint,2016-11-21T09:34:53Z,#675: eslint errors (closes #675). issue #675## test plan### tests performed- `npm run lint` --> no errors!- ci should pass,neutral
buildo/react-components,eslint,2016-11-21T09:41:20Z,why weren't these caught in the prs?,neutral
buildo/react-components,eslint,2016-11-21T09:55:19Z,gabro i was referring to the prs on `buildo/eslint-config` (different repo). i forgot to fix brc after those,neutral
buildo/react-components,eslint,2016-11-21T09:55:42Z,oh. ok!,neutral
buildo/react-components,eslint,2016-11-21T10:48:53Z,it wasn't `debug`'s fault: ci was failing because of eslint errors. closing!,negative
buildo/react-components,eslint,2016-11-22T09:47:45Z,fix eslint curly error. ## descriptionfix curly error (new eslint rule),negative
buildo/react-components,eslint,2016-11-22T09:51:03Z,#678: fix eslint curly error (closes #678). issue #678## test plan### tests performed`npm run lint` and ci passes,neutral
ember-intl/ember-intl,eslint,2018-10-19T16:10:31Z,looks like eslint is up-to-date now. so this is no longer needed.,positive
FezVrasta/popper.js,karma,2017-10-17T21:28:14Z,you may get a oss browserstack license. or if you use a vm you just have to open the karma runner url in your vm browser,neutral
angular-fullstack/generator-angular-fullstack,karma,2015-04-20T22:49:32Z,minmur i had a similar problem - missing includes in karma.conf as bower didn't add them automatically. your comment saved me some trouble. thank you.,positive
alexa-js/alexa-app,mocha,2017-02-13T19:51:09Z,> there are some es6 features we could take advantage of to make the code cleaner -- particularly arrow functionswhile i do agree upon this statement. it's worth noting that there are very minor side effects. for example. using arrow functions in mocha tests is discouraged (source:,negative
enyojs/onyx,jshint,2014-03-06T15:45:52Z,please fix the jshint failure -- we use tabs (set to 4-characters) for indentation in our source and jshint is seeing a mix of tabs and spaces used in the comment.  the easiest fix is to just use the //\* notation and put it on one line.,positive
Hacker0x01/react-datepicker,karma,2016-05-07T08:21:22Z,update karma related plugins,neutral
linkedin/hopscotch,jasmine,2015-10-29T04:53:15Z,cannot read property 'steps' of null. i keep getting this error during my jasmine tests. i am using jasmine and magic lamp to import my views as fixtures to my test. when i run hopscotch.starttour i get the above error. yet hopscotch.isactive is true.,negative
linkedin/hopscotch,jasmine,2015-10-29T04:57:16Z,could you provide a snippet of code with your tour configuration and how you start\end the tour (hopscotch api calls)?,neutral
linkedin/hopscotch,jasmine,2015-10-29T05:30:30Z,it's possible that hopscotch is getting into a bad state. it might happen if provided step number is out of bounds. try setting up a `onerror` callback and setting `skipifnoelement` to false to see if you get any error reports.,neutral
linkedin/hopscotch,jasmine,2015-10-30T08:31:09Z,tried both. didn't work.,neutral
linkedin/hopscotch,jasmine,2015-10-30T10:06:36Z,now i'm getting this cannot read property 'getboundingclientrect' of null if you can relate to where the error could be let me know.,negative
sass/node-sass,mocha,2013-10-07T04:36:32Z,moved back mocha to `dependencies` as suggested by kennethormandy which seems to have got lost in a rebase,neutral
sass/node-sass,mocha,2013-10-19T14:05:48Z,i think we'd still need to test the middleware using mocha but we can certainly use sass-spec for testing that we're correctly piping everything into libsass.,neutral
sass/node-sass,mocha,2013-10-30T20:02:00Z,use a mocha reporter that doesn't blank the screen. currently the build step uses the `min` reporter which blanks the screen which is unexpected and confusing.this switches to the `dot` reporter which prints a single dot for each test and does not blank the screen.,neutral
sass/node-sass,mocha,2013-10-30T20:05:48Z,oh cool. thanks!,positive
webpack/webpack,standard,2017-06-15T16:58:15Z,i think it's webpack's es loader. afaik. there's no standard regarding this. according to standards you should use either this:```import { extend } from 'lodash-es/index.js'```or this:```import extend from 'lodash-es/extend.js'```it's purely up to bundlers how to handle this.,neutral
acuminous/yadda,mocha,2016-04-12T18:10:48Z,no luck. please close it :(,positive
acuminous/yadda,mocha,2016-04-22T08:16:31Z,hi. seems reasonable but wouldn't help if the asynchronous part of the test threw an error. i've also never seen this cause timeouts - i usually run my tests via mocha and the exception is handled for me. how are you running your tests?,negative
prebid/Prebid.js,standard,2018-09-13T08:04:45Z,jsnellbaker now i get the recursion mechanism. i thought at first it was another thing. now reading the snippet it makes perfectly sense.genegenie  ty for the answer.i'm using a custom creative based on the standard prebid code and the solution to my issue was a reference to the wrong parent frame.anyway thank you,positive
