pubnub/chat-engine,codacy,2018-01-03T22:24:08Z,put these into travis secretsgit config --global user.email "github-ops-codacypubnub.com"git config --global user.name "pubnub bot",neutral
serverless/serverless,mocha,2016-11-16T10:07:14Z,dougmoscrop thank you!  you're rock and rolling!   unfortunately i have to close this pr as the refactoring in #2716 will add that as well  anyway. thank you for all the stuff you've done here and in the past and keep up the great work,positive
serverless/serverless,eslint,2016-07-15T00:59:45Z,flomotlik certainly,neutral
serverless/serverless,eslint,2016-07-15T16:37:09Z,great. we'll be sharing more info about the future of serverless over the next weeks. please feel free to jump in anywhere you like and where it makes sense for you in terms of feedback or code. happy to have you!,positive
benderjs/benderjs,mocha,2014-12-17T12:50:47Z,ok. this is a problem with `benderjs-mocha` plugin - i'll recreate the issue there.,neutral
Azure/autorest,standard,2016-10-21T21:30:15Z,linter complains that description is not present there is a summary defined. we say to partners that summary and description are the same thing and we ask them to add any of those. but linter always complain that description is not present. moreover msdn documentation is generated from description fields. we should define one standard both in linter and cr feedbacks.,negative
Azure/autorest,standard,2016-11-03T21:36:27Z,fearthecowboy given that `x-nullable` is (or will soon be?) a thing. imo it would be better to use it to control these client language-binding decisions. rather than overloading the semantics of standard swagger elements too much.,neutral
tessel/t2-cli,coveralls,2017-01-19T21:36:43Z,i think something is wrong with coveralls 0_o,negative
airbnb/javascript,eslint,2016-07-15T18:14:33Z,capitalize all comments in eslint react.js,neutral
airbnb/javascript,eslint,2016-07-15T18:29:12Z,i don't think we need to be that pedantic about comments. but sure. why not.,neutral
airbnb/javascript,eslint,2016-07-21T17:07:01Z,alex1990 the default is for the entire project. which is to only allow dependencies. the proper solution is to make a `.eslintrc` in your "test" folder. that overrides the rule to allow devdependencies also.,neutral
airbnb/javascript,eslint,2016-07-21T17:17:11Z,okay. so i must create two `.eslintrc` files.,neutral
airbnb/javascript,eslint,2016-07-21T21:16:18Z,no matter what. you'll have to use eslint v2 with eslint-config-airbnb. until #936 is resolved.,positive
airbnb/javascript,eslint,2016-07-25T19:24:17Z,sure – i brought this up because these weren't explicitly set to `false` in the config. which seemed like a potential oversight. and because eslint-config-fbjs was disabling this rule because they wanted to use this pattern.,negative
airbnb/javascript,eslint,2016-07-27T05:25:13Z,great. that seems to work fine for me as well. let's update it to use that - both here and in `eslint-config-airbnb-base`,positive
airbnb/javascript,eslint,2016-07-27T05:37:53Z,jglover update in-place please :-) it would also be ideal to use git locally and rebase it down to one commit. rather than using the web ui. (also. it still needs to update the `eslint-config-airbnb-base` readme),positive
airbnb/javascript,eslint,2016-07-27T10:22:47Z,updated readme for eslint-config-airbnb & eslint-config-airbnb-base. relates to #970 added subshell to usage commands and converted samples to the three backtick markdown syntax with language specifier for highlighting. this fixes an issue where zsh (and potentially other shells) don't execute the commands properly because of a missing semicolon after variable declaration.had to change some of the wording because if you embed a code block under a numbered list item without text on the same line as the number. markdown gets upset and drops the list formatting.,neutral
airbnb/javascript,eslint,2016-07-27T15:38:47Z,thanks!,positive
airbnb/javascript,eslint,2016-08-02T08:18:32Z,can you provide the output of `npm install` and your linter command? is that command correctly an `npm run-script`. or are you incorrectly running a global `eslint`?,neutral
airbnb/javascript,eslint,2016-08-02T08:34:48Z,thank you for the awesome response time ljharb. it was atom / atom linter / linter-eslint returning the error. i was using an older globally installed eslint package. when i disabled "use global eslint installation" everything works fine,positive
airbnb/javascript,eslint,2016-08-03T17:30:09Z,how to use either extends airbnb and mocha in eslint . i'm new to eslintmy eslintrc.js> `module.exports = {`> `"extends": "airbnb".`> `"installedeslint": true.`> `"plugins": ["react". "mocha"]`> `};`question:when i try to lint a mocha unit test file. it shows 'describe' is not defined. (no-undef)it seems like mocha plugin doesn't works.mocha plugin should add all of the mocha testing global variables.if i remove `"extends": "airbnb"` . then it will be fine.how can i use both or just  prevent it to lint mocha testing filesthank you. regard,neutral
airbnb/javascript,eslint,2016-08-03T17:38:39Z,if you want mocha globals pre-defined. you need `"env": { "mocha": true }` somewhere in your eslint config. adding the mocha plugin just provides rules that can be enabled - it doesn't set any configuration. i'm assuming the mocha plugin documentation should tell you how to add your own config.,neutral
airbnb/javascript,eslint,2016-08-06T00:06:01Z,amilajack i'm sure `eslint` would appreciate a bug report if you could figure out on which code that's erroring out.lukebennett since this guide does not yet recommend using `async`/`await`. nor generators. i don't think it's worth mentioning just yet. since `async/await` is now stage 4. hopefully `eslint` will support it soon - at which point. this incompatibility will go away.,negative
airbnb/javascript,eslint,2016-08-06T21:14:35Z,which package - `eslint-config-airbnb`. or `eslint-config-airbnb-base`?,neutral
airbnb/javascript,eslint,2016-08-12T05:40:52Z,yes. updating the base config is correct. please prefix your commit with `[eslint config] [base] [breaking]` if you can :-)i'm not sure which section would be more appropriate. but we can bikeshed that on the pr :-),neutral
airbnb/javascript,eslint,2016-08-12T21:57:58Z,the usual cause of this error is that your editor is using the global eslint instead of the local one - although the stack trace doesn't seem to indicate that.you may want to update to the latest eslint. eslint-config-airbnb. and eslint-plugin-react. but i'm not sure why your error is happening.,negative
chaijs/chai,mocha,2013-04-25T11:02:19Z,ie / object doesn't support property or method 'class'. i'm using chai-jquery with chaijs & mocha.works well in most browsers. chrome (linux & win). firefox (linux & win). opera(win) but in ie10. it shows this error:```typeerror: object doesn't support property or method 'class'```for this    expect($el).not.to.have.class('xyz'),neutral
chaijs/chai,mocha,2013-05-07T19:17:32Z,i'm also having this problem on ie10 :(,negative
chaijs/chai,mocha,2013-05-07T19:28:18Z,this is a chai-jquery issue; closing.,neutral
jdan/cleaver,jshint,2014-03-31T07:04:23Z,oops. did not notice jshint in npm test.,neutral
guidone/node-red-contrib-chatbot,mocha,2017-06-27T22:25:33Z,fabianoleittes hi. i'm fine and thanks for using red bot.yes. i accept pull requests. redbot is still a work in progress so it's welcome a bit of coordination to avoid duplication of works.i generally use telegram for the development. it's easier to setup. this is also the reason many features for messenger are yet not implemented.yes i've tests. i use **mocha**. to test locally `npm test` and i lint the code before pushing it with `npm run lint`.nodes are generally very simple. all the code for the specific platform are in /lib/* and chatbot-*-receiver.js nodes.the general rule of thumb with nodered is that a node should do the minimum. don't let a node do a task that can be done with two nodes. the more granular are the nodes the easier is to compose the flows.i don't have a public roadmap yet. i'll open a wiki page in the next few days. for sure it includes facebook cards and buttons. slack support. email support and of course payment support.,negative
velesin/jasmine-jquery,jasmine,2013-12-18T15:11:04Z,there's no timeline. i may kill this. there are too many things missing or different in zepto from jquery,neutral
velesin/jasmine-jquery,jasmine,2014-01-07T20:32:26Z,would be great to see this patch in. do we know when this might happen? /cc peeja travisjeffery,positive
velesin/jasmine-jquery,jasmine,2014-01-08T19:36:19Z,thanks. really appreciate it!,positive
velesin/jasmine-jquery,jasmine,2014-01-08T19:48:05Z,awesome travisjeffery! looking forward to seeing it happen!,positive
webrtc/samples,selenium,2015-10-19T15:32:48Z,btw: i can't see what's wrong with _selenium-webdriver/_base.js_. i.e. why travis gives `syntaxerror: unexpected token )` after `vm.` on line 104?,negative
videojs/video.js,standard,2016-11-16T15:42:43Z,i vote to kill it. i don't think it's documented. and it's not a standard attribute.,negative
fergiemcdowall/search-index,standard,2017-01-11T16:46:29Z,ah yes. i wonder- does it make more sense to use `offset` and `pagesize` in `categorize`? since `categorize` now takes a standard query object. it would make things more consistent,neutral
solid/node-solid-server,standard,2016-05-10T21:43:53Z,updating to standard 7,neutral
solid/node-solid-server,standard,2016-05-10T21:44:26Z,see #340,neutral
mongoosastic/mongoosastic,eslint,2015-12-19T11:17:00Z,this contains lots and lots of changes not related to the feature. i can't review all of that and find out which ones are style changes and feature changes. could you minimize the changes just to the feature and only that?for example: - don't update dependencies. only the ones you need. - don't change travis.yml- don't deactivate any eslint rules- don't change style or indentation nor reformat any object literal. - squash all commits into only those are not bad. just doesn't belong to this specific pr. you can send them with new prs. the more specific the pr. the better.,negative
valor-software/ng2-tree,karma,2017-04-27T21:05:32Z,malliswarikulala what is `tree-root`? and `angular-tree-component` is not from this project,neutral
prettier/prettier,codecov,2017-11-05T06:00:12Z,not sure why codecov is saying coverage decreased. didn't touch any source code.,negative
prettier/prettier,eslint,2017-08-17T09:52:12Z,this seems to be very much a semicolon vs no semicolon debate. and as suchi'd suggest it be a configurable option.  i work on dozens of projects withvarious teams. each with their own unique eslint config... and it'd begreat to use prettier among all of them. without imposing a huge rewrite toevery codebase to drop wrapped parens around a single arg.  the issueitself filed here has had the most feedback i've seen in such a long time.so many people have voiced their opinions. many probably first time githubusers.bottom line - **do you want a huge userbase using a fork of this project**(that has no reasonable belief to be secure or maintained) because youwon't add a few lines of code to configure it optionally?quite bizarre if you ask me.,positive
prettier/prettier,eslint,2017-08-20T12:53:01Z,lydell sorry for noise i put the issue in wrong project. it is related with eslint and prettier integration.,positive
prettier/prettier,eslint,2017-08-23T02:52:20Z,basically using both `eslint-plugin-script-tags` and `eslint-plugin-prettier` together will yield the exact result that you're looking for. you should be able to test using the branch of that pull request.,neutral
prettier/prettier,eslint,2017-08-23T02:53:42Z,i've already tested `eslint-plugin-script-tags` + `eslint-plugin-prettier` and linting works. just eslint's auto-fix mode doesn't come into play like it does with normal `.js` files. that pull request turns on `--fix` mode for "processor" plugins (f.e. `eslint-plugin-script-tags`). which will make `eslint-plugin-prettier`'s fixes automatically apply.,neutral
prettier/prettier,eslint,2017-08-23T02:56:26Z,trusktr. this is nice! though i wish we did not had to rely on `eslint --fix` to "prettierize" vue files..,positive
prettier/prettier,eslint,2017-08-23T16:49:18Z,i considered that it might be ambiguous but eslint warns with `no-extra-semi`.,negative
prettier/prettier,eslint,2017-08-23T16:49:58Z,well. you should turn off that eslint rule :),neutral
prettier/prettier,eslint,2017-08-24T11:58:27Z,oh! you right. i probably missed it.i solve it using:```js/* eslint prettier/prettier: ["error". { trailingcomma: "es6" }] */```,negative
prettier/prettier,eslint,2017-08-27T03:00:02Z,i totally understand. the downside is that after prettier reformats xode. eslint can no longer throw on that formatting. i could run eslint both before and after prettier. with a different config for the first round to catch the possible-error formats. but that increases the time it takes.,positive
prettier/prettier,eslint,2017-08-29T07:16:21Z,but is it reasonable? if so. that would break both eslint and tslint checking.,neutral
prettier/prettier,eslint,2017-09-03T20:23:26Z,trusktr i tried your solution and it doesn't seem to work for me. eslint complains about line-breaks that an auto-fix don't solve. also. all the rules of `eslint-plugin-vue`that should be triggered in `template`are simply ignored.i would very much like an update on this issue and any pointer to where to start in order to help.,negative
prettier/prettier,eslint,2017-09-08T06:49:48Z,cc the eslint-plugin-prettier folks: not-an-aardvark zertosh,neutral
prettier/prettier,eslint,2017-09-08T19:01:04Z,azz mitermayer vjeux don't you think we should keep this flexible for compatibility with eslint-plugin-prettier's pragma option allowing arbitrary strings?i definitely see the advantage of keeping this to a known value so in the future option-values can be applied. i'm still worried about the existing adoption of eslint-plugin-prettier's arbitrary pragmas though.,negative
prettier/prettier,eslint,2017-09-10T02:13:46Z,i don't suppose there's a way to force prettier to format according to eslint configurations without having to place `// prettier-ignore` inside my code?,negative
prettier/prettier,eslint,2017-09-12T10:22:00Z,i guess this could also be solved in a general way by using one of those automatic git hook installers adding a "run `npm install`/`yarn` if package.json or package-lock.json/yarn.lock has changed after `git pull`". that would also protect against `eslint --fix` resulting in the same issue.,negative
prettier/prettier,eslint,2017-09-12T13:58:40Z,lydell thanks for the update. i'm new to prettier but having the option `eslintintegration: true` makes me expect prettier would respect any rules defined in the project specific .eslintrc? is that not the case?,positive
prettier/prettier,eslint,2017-09-12T21:53:14Z,i'd love to see this implemented as well. you can technically achieve this with `eslint --fix` and `comma-style: ['warn'. 'first']` but i'd rather not see warnings in eslint for something that can be cleaned up with prettier.,positive
prettier/prettier,eslint,2017-09-13T14:14:06Z,`eslintintegration: true` is a `prettier-vscode` setting to use `prettier-eslint` instead of `prettier`.,positive
docpad/docpad,standard,2014-09-04T20:51:49Z,i agree with dinomike on the gulp idea. if we can make a module for this it would be great. i did consider this a couple of times in the past.i guess it's just all about making sure it's modular so then we can do this properly without having to re-write a big part of docpad. just need to replace a module (or several).and i also agree that going with javascript is just a good idea. while coffeescript is awesome. not every js dev knows coffeescript. but every cs dev knows javascript (or they should for their debugging).also i don't like whitespace significant languages because of how they look (gonna bring the flame with that one if i say it in hacker news or something similar). loli say go with plain js. at this point in time it is still the standard.,negative
ocombe/ocLazyLoad,karma,2015-02-18T08:42:26Z,hmm yes that might be a problem. is it possible to have a small test case somewhere?,neutral
ocombe/ocLazyLoad,karma,2015-03-03T19:20:16Z,for testing with jasmine or karma you really don't need oclazyload in my opinion. i applaud oliver's efforts here but just don't load oclazyload when you are testing. problem solved. i'd rather have o concentrate on keeping this module working with the latest angular builds. just my 2 cents...,negative
ocombe/ocLazyLoad,karma,2015-03-05T11:18:41Z,great. thanks.  will check,positive
sequelize/sequelize,jasmine,2013-06-18T21:00:04Z,it looks like some jasmine tests are failing due to the different timezone format that moment uses vs. the previous manual formatting. the moment format better matches postgres' internal format; i'll update the tests and amend the pull.,neutral
sequelize/sequelize,jasmine,2013-06-19T20:39:32Z,uhh guys. are we still using jasmine? i was under the impression that we're not :/,neutral
sequelize/sequelize,jasmine,2013-06-21T20:04:43Z,note: there is a commented out test in jasmine dao-factory spec that should be able to run once a pr for this is submitted,neutral
sequelize/sequelize,jasmine,2013-06-24T22:03:44Z,please update the jasmine tests :),positive
sequelize/sequelize,jasmine,2013-06-25T08:37:46Z,woops. stupid me. we really need to migrate away from jasmine soon so i don't forget to run half the tests :d,negative
sequelize/sequelize,jasmine,2013-07-09T00:48:56Z,wait. why are we **not** updating timestamp(s) on updateattributes? :/ (according to jasmine),neutral
sequelize/sequelize,eslint,2017-08-07T03:21:40Z,working on this i noticed sequelize eslint rules can benefit from a few extra rules.it might be useful to extend the  "eslint:recommended" rules which protect against using duplicate keys in objects and reassigning values to const among other things (those are the two i noticed that were missing).also i used the complexity rule to calculate the cyclic complexity of the methods ( but i'm not sure if this is as important as the other rules),positive
sequelize/sequelize,jshint,2016-05-21T07:15:44Z,my tests failed with docker before i did not include mocha and jshint installations globaly.. ### description of changemy tests failed with docker before i did not include mocha and jshint installations globaly.,negative
sequelize/sequelize,jshint,2016-05-22T16:54:57Z,hmm. weird - all commands in the package.json file use `node_modules/.bin/` to reference the files - which specific command was failing?,negative
sequelize/sequelize,jshint,2016-05-22T17:20:57Z,try `npm run jshint` :),neutral
sequelize/sequelize,jshint,2016-05-22T17:21:13Z,hmm but that's what docker does,neutral
sequelize/sequelize,jshint,2016-05-22T17:35:15Z,ok... i see now where problem lies. you have to npm install localy. before doing docker tests.but then i do not see any reason for rows in dockerfile:```copy package.json /run npm install```,negative
sequelize/sequelize,jshint,2016-05-22T17:39:25Z,imho before any tests docker inside should do npm install it'self. that way you have clean test inside docker.,neutral
TryGhost/Ghost,mocha,2014-10-18T17:57:22Z,i'm wondering if it might be time to consider switching away from using casperjs and phantomjs for these tests. at the very least. i'm tempted to use the mocha-casperjs modules to try to make the format of our functional tests more consistent with the rest of the test suite.i am wondering if it wouldn't be better to use selenium webdriver. as long term it'd give us more flexibility.still casperjs does support running tests against phantomjs and slimerjs. i am also aware that there is a major rewrite of phantomjs (phantomjs 2) in progress. so perhaps we should just sit tight. still i'm not loving the 10minute slowdown of the tests or the random crashing.,positive
swagger-api/swagger-ui,eslint,2017-06-20T18:43:58Z,i actually had trouble importing the module with webpack. it complained that the brackets () are not expected where they are. my guess is that it's a strict eslint rule that disallows arrow functions for compatibility reasons - so yeah - blame it on ie ;-),negative
swagger-api/swagger-ui,eslint,2017-06-28T17:30:22Z,also note that ci is failing - looks like your update to eslint caused it to become more strict. it was probably the react eslint preset. it's good that we updated it. but we need to get it passing again.i'd like to see the code fixes for that in a separate pr. we can merge that pr. then merge master into this pr. which should clear the way for ci to run normally here.,positive
ariatemplates/hashspace,karma,2014-04-25T09:14:26Z,> then. we just have to take care to define properly the entry point of the package int the package's definition (package.json).this would pose a problem for non-node tools we are using (common.js pre-processor for karma and noder) as afaik those don't "understand" `package.json` entries.we are in a kind of more complex situation here as we are trying to make those dependencies work both in node as well in a browser....,neutral
nightwatchjs/nightwatch,jshint,2014-07-13T10:18:22Z,update linted files and fix some jshint issues. add `tests/*.js` to list of _linted_ files and fix it's issues.,neutral
formly-js/angular-formly,karma,2015-04-17T03:33:09Z,coveralls.io integration. this provides the necessary configuration via karma to publish coverage results to coveralls.io (pending some environment config by kentcdodds for coveralls.io authentication).  in addition. a new test coverage badge is being added to the readme.  fixes #78,neutral
formly-js/angular-formly,karma,2015-04-17T05:07:56Z,looking at the report it's actually only reporting on the index.test.js file which contains all of angular. api-check. and angular-mocks. as well as angular-formly... do you know of any way to make the coverage plugin leverage sourcemaps or something to make sure that 1) we're only reporting coverage for angular-formly files and 2) it reports coverage for the specific files. not just the entry file?,neutral
formly-js/angular-formly,karma,2015-04-17T05:29:52Z,i'll take a peek at this and circle back!,neutral
FezVrasta/popper.js,karma,2017-04-26T06:32:36Z,> would you like to add a test for node in a separated pr maybe?can do. which test runner would you like me to use? mocha. ada. tape? because currently everything seems to be run in karma. which has all those globals.,neutral
tejacques/crosstab,sauce,2015-06-24T05:36:24Z,i'm actually in the process of testing this now. just need to run it over saucelabs and it should be good to go. eta pushes to npm tomorrow.,positive
angular/zone.js,jasmine,2017-03-19T13:36:25Z,fix(jasmine): modify jasmine test ifenvsupports message. add jasmine spec ifenvsupport message,neutral
angular/zone.js,sauce,2015-06-01T05:04:35Z,we need to fix the issue with ie first - which is s real bug in the lib before we can merge - not delete - the pr. to be clear this is no related to sauce but a bug that wasn't tested before,neutral
adamgruber/mochawesome,mocha,2015-05-15T15:49:21Z,this is more a question than an issue. how do i set the report title that shows on to of the html page?right now it seems that reportname is really the name of the html page that will be outputted. for example if i put reportname='index'. it outputs index.htmlbut the title of the report on the actual page seem to always be the name of the root directory (i loko at your code and actually that is how you are getting the reporttitle)could you kindly update that to use reporttitle if specified with the reportoptions?that way we can do simply:mocha({        reporter: 'mochawesome'.        reporteroptions: {          reportdir: reportdir.          reportname: reportname.              reporttitle: reporttitle        }    }thank you so much for your greta work with this package!damiano,positive
adamgruber/mochawesome,mocha,2015-05-16T01:23:14Z,i think this is a valid option and worth adding.,neutral
adamgruber/mochawesome,mocha,2015-05-18T19:33:32Z,thank you.,positive
adamgruber/mochawesome,mocha,2015-05-21T13:37:04Z,maybe i am doing it wrong. let's say you want to try to reach a page on a browser : www.dev.mysite.com/runtest/. with your node server you want to run the test programmatically and then display the result on this page.(and you don't mind waiting for the test to complete does not have to be live) since it is async. the probleme is you cannot just return the html file because you don't really know when it will be done writing in the file(html.css.js). so i was thinking promise or a callback when everything is done so i can return the html file knowing its complete.it's only a proof of concept but look :var html =templates.mochawesome(obj);                savetofile(stringify(obj. null. 2). config.reportjsonfile. function() {});                savetofile(html. config.reporthtmlfile. function() {                    console.log('\n[' + chalk.gray('mochawesome') + '] report saved to ' + config.reporthtmlfile + '\n\n');                    options.reporteroptions.callbackaftersave();                });i know it isn't clean code and fail proof because callbackaftersave() could be empty and race condition ... and it doesn't follow the logic of config and your param but it kinda work. it calls my function when its done writing the html. now i can safely return it.,negative
adamgruber/mochawesome,mocha,2015-05-22T19:19:59Z,the report gets saved to the `mochawesome-reports` directory which contains everything you need for offline viewing.,positive
adamgruber/mochawesome,mocha,2015-05-22T19:25:35Z,so you're hitting a website that triggers the tests to run and you want the mochawesome report to display on that website when the tests are done? i'm not so sure this is a common use case. the tests themselves could take awhile to run leaving you to have a blank browser window while they run. it seems a better solution would be to employ a build server like jenkins to run your tests and then notify when they are complete. the build jobs can be configured to save the html report to a box somewhere when done and email out a link to the page. we have a similar setup where i work.,neutral
adamgruber/mochawesome,mocha,2015-05-26T13:11:47Z,html reports problem. i am trying to run my mocha test cases and reporting output with mochawesome but i endup with a error 137 passing (184ms)24 pendingfatal error: call_and_retry_last allocation failed - process out of memoryaborted (core dumped)mochawesome-reports folder is generated and inside it i have css  fontsjsfolders but html reports are not generated.could you please suggest  me the solution i have tried spec.dot and various other reporter they are running perfectly over the stdout but i want html reports.,negative
joeybaker/generator-iojs,eslint,2015-05-19T03:01:17Z,convert eslint to a shareable config. for abstraction!,neutral
Hacker0x01/react-datepicker,karma,2015-10-29T13:38:48Z,update karma-sauce-launcher,neutral
Hacker0x01/react-datepicker,eslint,2018-03-08T22:40:05Z,martijnrusschen flow is a lot like a linter. in that it doesn't affect the runtime behavior at all. but it does require more annotations than eslint. they can be in comments. but it's prettier when they're not. transpiling flow is as simple as removing the annotations. which we already seem to have babel configured to do.the way we're using it at work. we have webpack configured to run flow. but it continues even if flow finds errors. (so you'll see the type errors but they don't get in the way of running the code.) on our ci server. we do reject changes that fail to typecheck. though initially we didn't.another advantage of flow over typescript. is that react uses flow. so our users are more likely to be familiar with it.i added #1307 as a simple example.,negative
linkedin/hopscotch,jasmine,2015-04-08T18:22:03Z,looks good to me. barring any objections. i'll pull this in by eod.,negative
sass/node-sass,jshint,2014-04-23T08:43:57Z,btw the lint script doesn't really make a lot of sense to have; it's just one line which executes jshint. if you plan to add more stuff later. then i guess it makes sense.,negative
webpack/webpack,standard,2016-12-20T23:33:26Z,that would definitely help! but still -- it seems like webpack has _many_ features that could benefit users if they only knew to use them. when the time comes. thanks to sections like `optimization` in your docs. they discover them and turn them on. this seems no different. js runs in so many different environments. all with different perf standards / requirements. default warnings seem most helpful when you can be totally certain that your assumption is global.,positive
webpack/webpack,standard,2016-12-23T12:41:03Z,posix defines:* standard output = for writing conventional output* standard error = for writing diagnostic outputprogress is a diagnostic output so it belongs to standard error.,negative
webpack/webpack,standard,2017-01-02T12:35:16Z,> should be squashed imo otherwise lgtmyes. for sure (good catch chicoxyzzy ). we shouldn't add broken commits inside master branch. i don't know for now if we are not using squash as standard. but if not it's a good idea add it.,negative
webpack/webpack,standard,2017-01-04T12:26:50Z,thelarkinn. i added some tests for `chunk` class. but i don't have all context about the scenarios and standards that we are using in webpack repository. i found different styles inside the test files and there's nothing talking about it on `test/readme.md`. i don't know if you guys are aware of it or what you are doing to improve this. so i don't know if makes sense create an issue to handle this or if we have some work in progress.,negative
webpack/webpack,uglify,2018-05-02T11:43:15Z,looks like stale issue. close due stale. feel free to open new issue if somebody faces with this problem in `webpack3` and `webpack4`. also i use latest uglify plugin and using long term cache and all works fine. maybe problem can be in other plugins. thanks,positive
webpack/webpack,uglify,2018-05-08T20:41:24Z,maximaximum expected behavoiour. webpack don't remove legal comment (copyright. licenses and etc). we should respect other developers. you can configure uglify plugin in `minimizer` option and set `comments: false`. thanks!,positive
