stipsan/uikit-react,eslint,2016-08-07T12:53:11Z,stricter eslint rules,neutral
request/request,karma,2015-01-27T18:30:46Z,:+1: thanks!,positive
pixijs/pixi.js,eslint,2016-11-11T15:37:01Z,merging this. i'll manually revert the eslint change.,negative
pixijs/pixi.js,karma,2014-03-02T21:05:27Z,peci1 just comment out the test for now. the condition has to be configured in karma.config. but commenting it out is fine for now. just the `it()` call.,positive
actionhero/actionhero,mocha,2013-02-23T22:31:01Z,fix exception tests in mocha,neutral
aurelia/route-recognizer,karma,2016-02-25T03:08:58Z,pull request is updated. sorted out my mess. only thing is travis is failing due to a karma/socket issue that seems to be affecting the master branch too.,negative
jquery/esprima,karma,2015-08-20T01:43:37Z,jasonlaster seems that it's the natural/suitable place for `karma.conf.js`.,neutral
jquery/esprima,jshint,2015-07-20T10:47:10Z,for me is jshint.,neutral
reactjs/react-docgen,eslint,2016-08-02T16:59:27Z,add flow-bin. update jest and fix flow error. this makes travis to run flow. eslint and the tests.i hope it is okay that i added flow. if not i can als remove it again form this pr and just fix the flow error.```src/utils/getmethoddocumentation.js:48 48:       type = getflowtype(typepath);                  ^^^^^^^^^^^^^^^^^^^^^ function call 50:         type.alias = typepath.node.id.name;                  ^^^^^ property `alias`. property not found in 50:         type.alias = typepath.node.id.name;             ^^^^ object type```,positive
softlayer/sl-ember-test-helpers,eslint,2015-09-08T14:10:56Z,upgrade sl-eslint in master branch,neutral
angular-ui/ui-utils,karma,2013-05-08T05:37:06Z,update readme.md. fix karma conf path,neutral
Zarel/Pokemon-Showdown,mocha,2015-04-07T09:35:13Z,i think it would be better if this pr added mocha tests that create battles in which immunities are involved to see if the immunity results are those we expect.,neutral
justmoon/node-extend,eslint,2015-07-01T13:55:40Z,i see the build is failing because of the eslint rule no-extra-stricti would suggest. that we should remove the struct pramas from the inner functions. because the module-wide one should cover it.the rule itself is depricated btw.,negative
Automattic/node-canvas,standard,2016-07-16T20:05:09Z,it's not the last argument that's elided. the standard canvas api lets you skip the fourth argument. defaulting it to zero. that doesn't seem to work in this implementation.,neutral
ncb000gt/node-es,coveralls,2013-08-16T18:20:49Z,this sounds great to me! for the coveralls.io stuff. the quickest way to see impact would be to run the following commands:``` bashnpm run-script coverageopen reports/coverage.html```that will show you what coveralls.io will ultimately report in terms of test coverage. what i've noticed is that when running integration tests. the additional libraries being used tend to get pulled in for test evaluation as well and often that significantly reduces the coverage number. if this is the case after you introduce functional tests. we can modify the posttest script in package.json to only run coverage when performing units and then do the functional integrations after.,positive
serverless/serverless,mocha,2016-09-22T02:13:31Z,just as fyi for the next dev who comes along this. it appears there is work going to add a `--order random` option to mocha (mochajs/mocha#902). then you could just add that into your `npm test` command. (i was kind of surprised that wasn't already in there.),neutral
serverless/serverless,mocha,2016-09-23T22:07:07Z,fix very small bug with pluginmanager tests.. ## what did you implement:a super small bugfix. the 'test' code actually always runs. since describe blocks are always executed. so for example if you did `mocha test -g "..."` even if it does not match this test. the test still runs. mocha also doesn't treat it as a test failure but rather it interferes with the entire test run.## how did you implement it:i changed a single word.## how can we verify it:run `npm test`. still works :d## todos:- [x] write tests- [x] write documentation- [x] fix linting errors- [x] make sure code coverage hasn't dropped- [x] provide verification config/commands/resources- [x] leave a comment that this is ready for review once you've finished the implementation,positive
serverless/serverless,mocha,2016-09-25T19:03:25Z,this is ready for review.,neutral
serverless/serverless,mocha,2016-09-26T07:14:44Z,thanks!,positive
serverless/serverless,eslint,2016-05-20T14:45:25Z,ignore coverage and other folders for eslint,neutral
serverless/serverless,eslint,2016-06-10T06:25:17Z,run integration tests and eslint for job 1 only,neutral
amir20/phantomjs-node,eslint,2016-11-15T23:01:51Z,> i think it would be good to learn how pull requests work with tests.yes. it's a learning process.  :)i can't get npm test to work. but i think it's a windows thing.but doing  `eslint . && flow check` is now returning no errors.just done a new commit. but it's not appearing here but it's appearing on my fork.  not sure if it's because it's put on hold..  oh. just noticed i didn't do it to the noop_cpu_update branch.. ok. i got there in the end. but i don't think i did it the easy way.. in the end just uploaded the files using the git website.. :)   i think i'm going to have to watch some utube vids on git..,negative
amir20/phantomjs-node,eslint,2016-11-16T18:49:17Z,> that's an idea. only issue i see though is that you will end up creating 10 timers per second. instead of just doing a simple conditional check. so not sure how v8 handles the creation & destruction of timers. may end up making more work for the gc.what do you mean? if a `noop` is in progress then it would just clear the inveral and wait until the reponse is received. right? maybe i am missing something here. > i know your busy. but before you do. could you also check / test :). i'll check before merging. the only problem is all my scripts don't actually need noop either. i found it a long time ago while testing some edge case. i looked that phridge which did the same thing. the good news is that the code is tested 99% with coverage. so i'd feel it would work if all tests pass. if you can think of adding a test case then that would be awesome. but i haven't figured out how to test this. it would be really good practice to make sure all changes are tested. > btw. i've maybe not said it yet. but great work in starting this project in the first place. it has really helped my use of phantom.js. and this was before these modifications.hey. you are welcome! i have enjoyed it as well. i took over the project a couple years ago. it used to use `dnode` but that seemd to have break all the time. i kept ignoring it until i decided to rewrite everything. then i rewrote it again using websockets. it didn't work. then i did it again using sysin/sysout. then a few months ago i changed everything to jest and finally i was reading yarn's code base. i leared so much from that. i added eslint every where and added flow to do static checking. i learned a lot with that and had fun with it too. v3 is pretty awesome and i hope to release v4 which target node6 going forward.,positive
metarhia/metasync,eslint,2017-05-26T13:57:13Z,add coverage folder to .eslintignore,neutral
metarhia/metasync,eslint,2017-05-29T07:55:24Z,landed in 33d7902,neutral
xodio/xod,mocha,2017-12-14T13:40:22Z,replace spectron with puppeteer. spectron (webdriverio) fails often while ci with no obvious reason. also. it can’t simulate hotkeys. let’s move our functional tests to puppeteer.we can’t test desktop ide features with puppeteer. but among them. we only test fs interaction. let’s preserve these tests but move them from functional to integrational category and simply use `mocha-electron` for them without simulating full ide launch.### how to implement- move universal `func-test`’s from `xod-client-electron` to `xod-client`. rewrite them with puppeteer.- move fs-related `func-test`’s in `xod-client-electron` to `test`. rewrite them to `mocha-electron`,negative
janl/mustache.js,eslint,2015-06-17T19:04:16Z,it looks like the removal was so it would be compatible with eslint. this change thankfully doesn't cause any eslint errors and allows the code to be run in strict mode.the reason behind this pr is because we bundle mustache.js with a bunch of other libraries that we use on our sites and automatically add `"use strict"` to the top of the merged script so this was causing it all to fail.,negative
janl/mustache.js,eslint,2015-06-17T20:12:30Z,thanks for the commit reference bobthecow. made it easy for figuring out nagaozen's change was just for `eslint` compatibility.i confirm this change doesn't raise any `eslint` errors.yousefcisco. thanks for the pr! i merge and release right now. :shipit:,positive
Azure/autorest,standard,2016-08-22T17:35:13Z,keeping generated files out of repository. added ignore. the new standard will be to keep generated files out of the repository. so i'm excluding the generated go files and adding some ignores.,neutral
airbnb/javascript,eslint,2016-05-17T22:39:14Z,i started checking out eslint today. my bad for not checking the style guide i had closed the pr because i wasn't sure if i did something right,negative
airbnb/javascript,eslint,2016-05-25T02:21:42Z,ljharb what about circular dependencies among functions?,neutral
airbnb/javascript,eslint,2016-05-25T07:35:10Z,chirag04 luckily those are incredibly rare. typically i see a circular dependency as a code smell. between functions or between modules. however. there are definitely a few cases where it's necessary - and that's what inline eslint comments are good for.it's ok if. eyes open. your code deviates from a style guide. but the code should be profusely apologizing for it with comments. as opposed to the guide bending to allow for usually-bad patterns.,positive
airbnb/javascript,eslint,2016-05-25T16:18:41Z,jesucarr that solution won't actually work. because `undefined` would be passed in. not the later value of the function. the trivial solution is adding `// eslint disable-line no-use-before-define` on the `function resolveaorb` line.however. it's likely that your implementation and use of `type` could be redesigned such that this wasn't a problem. one example could be. `type` being a thunk. instead of a data property. i'm not really sure since i don't have all of your requirements and codebase in my head :-),negative
airbnb/javascript,eslint,2016-05-25T19:56:36Z,i personally agree that named imports are better. they can be statically analyzed by eslint to ensure that you're not using an actiontype that doesn't actually exist.,neutral
airbnb/javascript,eslint,2016-05-27T15:57:33Z,that's odd - it seems to be using your local npm-installed `eslint`. which is usually the concern. what does `npm ls` output?,neutral
airbnb/javascript,eslint,2016-05-30T20:24:19Z,icetbr you're correct - if you have a method that is designed to mutate (something this guide discourages). then you'll run afoul of some of our rules. in this case. you may want to simply disable the rule using an eslint override comment. alternatively. you could do `this.data = getnewtransformedcopyofdata(this.data)`.,neutral
airbnb/javascript,eslint,2016-06-02T21:02:24Z,wdhorton what command are you using to run that? any chance you're using `eslint` directly. meaning you're running your global one and not the local one via an npm run-script?,neutral
airbnb/javascript,eslint,2016-06-02T21:20:37Z,uninstalling the global eslint worked. thanks!,positive
airbnb/javascript,eslint,2016-06-05T00:17:54Z,kevingrandon the `eslintrc` file you're talking about is for the package _itself_. and isn't something that anyone should be using or even discovering. the rules the package exports already comply with the styleguide.,neutral
airbnb/javascript,eslint,2016-06-05T00:18:54Z,the solution is to configure `eslint-plugin-import` with your custom resolution rules."what webpack does" is irrelevant - if you deviate from how the standard node require works. you're going to have to/want to configure _every_ tool you use - webpack and eslint are just two of many.,neutral
airbnb/javascript,eslint,2016-06-08T20:38:27Z,what is `launcher`? any chance it's running a global `eslint` binary? if you do `npm uninstall -g eslint`. and then run the tests. what happens?,neutral
strongloop/strong-tools,codacy,2016-12-15T18:34:29Z,testing codacy,neutral
jashkenas/backbone,eslint,2016-01-17T17:31:44Z,i'd be happy to implement the eslint no-shadow rule in general if desired. unless captbaritone has this on his radar :),positive
jashkenas/backbone,eslint,2016-01-17T17:48:51Z,i was planning on getting to it. but don't have anything started. go for it!## jordan eldredgeplease excuse any typos or terseness; this email was sent from a mobile device. > on jan 17. 2016. at 9:31 am. craig martin notificationsgithub.com wrote:> > i'd be happy to implement the eslint no-shadow if desired. unless captbaritone has this on his radar :)> > —> reply to this email directly or view it on github.,positive
michaelbromley/ngx-pagination,karma,2016-07-05T19:56:22Z,i'm happy to make a pull request. but i'm not familiar with karma. so i'm not sure where to find test 36 and how to run a detailed stack trace for that error.,negative
jxnblk/rebass,standard,2016-04-21T19:23:58Z,focusing inputs / input refs. the standard way of focusing inputs doesn't work with rebass inputs. typically you pass a ref function. like `ref={(e) => e.focus()}` but the ref gets a null value on rebass not the input element.two possible solutions:- make the ref on an input component receive the input element. which might not be right since ref is supposed to be whatever the rendered element is. would be non-standard if it didn't include the label and container as well.- add a `focused` attribute to the input component that can be used to control if the element is focused or notlmk what you think,neutral
jxnblk/rebass,standard,2016-04-21T21:39:30Z,related to #68 - afaik the only good solution is to change form elements into class components or wait for react to support a solution for functional components. lmk if i'm missing something obvious though.,neutral
angular/angular-phonecat,karma,2014-06-10T16:30:26Z,oh yes. i didn't stopped another http server.thanks petebacondarwin :)regardless of that - a few tries before i've kill all hosting processes and still got that http-server error.so whoever encountered same problem (as me and op):npm install http-server -g(and/or npm install karma -g)should do the trick.,negative
liferay/clay,coveralls,2018-02-20T14:42:22Z,update coveralls badge | fixes #575,neutral
liferay/clay,coveralls,2018-02-20T14:53:21Z,merged. thx!,neutral
peterolson/BigInteger.js,jasmine,2015-02-05T19:23:53Z,make jasmine a devdependency instead of dependency in package.json. - also use local jasmine install instead of global for `npm test`,neutral
peterolson/BigInteger.js,jasmine,2015-02-05T19:28:46Z,thanks for that. i'm fairly new to working with jasmine,positive
jsoverson/preprocess,coveralls,2015-07-27T14:58:31Z,jsoverson i've never really worked with coveralls. so i am not sure why it is decreasing code coverage. probably because i added a test. and it is not expecting that output.besides that. this is ready to merge.,negative
velesin/jasmine-jquery,jasmine,2013-11-09T23:29:28Z,support jasmine v2,neutral
webrtc/samples,selenium,2015-09-03T16:52:03Z,oh.. both actually. even though leaving the receive box makes this testable from selenium... hm..!,neutral
videojs/video.js,sauce,2014-06-11T16:29:14Z,have you had a chance to ping sauce on this?,neutral
videojs/video.js,sauce,2014-06-11T16:43:45Z,yeah. `grunt saucelabs` works for me. i'm not sure i'm understanding the `grunt saucelabs:connect` relationship. i ran it an it just seemed to hang. not running any tests. but just running saucelabs alone worked for me.,negative
videojs/video.js,sauce,2014-06-11T17:55:13Z,ah. `grunt saucelabs` worked? cool.i added `grunt saucelabs:connect` to equivalent to what is happening on travis ci with the "sauce connect" plugin thing. but it's very possible we don't actually need it for running locally.,neutral
videojs/video.js,sauce,2014-06-11T17:55:39Z,i hadn't.,neutral
videojs/video.js,sauce,2014-06-13T22:59:07Z,gkatsev i don't know that we could just swap in the actual techs. i tried that in the past and flash became super glitchy. loading it and unloading it quickly. and it really had problems when it was in the hidden qunit fixture div. so we might have to use a test framework that's meant for integration tests and can use one swf load for a bunch of tests. it would be nice if it were that easy though so probably worth verifying since it was a few years ago when i tried it.floehopper there's no projects specifically for integration/acceptance tests yet. there's a few pull requests for sauce labs. but that's still around unit tests.,positive
videojs/video.js,sauce,2014-07-03T22:00:06Z,same question here. pull in now or wait?,neutral
videojs/video.js,sauce,2014-07-03T22:22:57Z,probably pull in now. probably a while before i get to the new stuff.,neutral
videojs/video.js,sauce,2014-07-03T22:23:31Z,ok. will do.,neutral
fergiemcdowall/search-index,selenium,2016-05-06T13:54:12Z,hmmm- its crashing selenium for some reasonyou can see if your changes work by doing `npm test` before deploying (or just `npm run test-browserify` to test the web stuff that seems to be breaking),neutral
fgnass/domino,mocha,2013-04-03T22:09:38Z,fwiw. that warning seems to come from mocha. not domino.,neutral
expressjs/express,mocha,2013-04-16T00:19:30Z,for those who don't have `make`. i wrote a simple batch file to run the tests:``` batchecho offsetlocalset mocha_opts=--check-leaksset reporter=dotset node_env=testcall node_modules\.bin\mocha --reporter %reporter% %mocha_opts%call node_modules\.bin\mocha --reporter %reporter% %mocha_opts% test/acceptanceendlocal```,negative
mongoosastic/mongoosastic,eslint,2015-11-03T15:00:38Z,guumaster build is green now. sorry i forgot to eslint. also i forgot to look at the contributing.md; i can make a branch if you want. its how we work here as well.,negative
mongoosastic/mongoosastic,coveralls,2015-11-03T20:54:40Z,updated yml config for travisci and coveralls,neutral
babel/babel-loader,mocha,2015-12-08T19:46:01Z,this is interesting: i've got some mocha tests running with babel but that _requires_ the `.babelrc` entry for presets. `mocha --compilers js:babel-register tests/`with that `.babelrc` file present (and like others. it's just the one entry for "es2015"). mocha runs its tests fine. but webpack fails. without the `.babelrc` file. webpack runs but mocha fails. facepalm.,negative
anvilresearch/connect,eslint,2015-11-03T18:38:46Z,eslint to ignore public vendor scripts.,neutral
anvilresearch/connect,coveralls,2015-11-17T18:21:19Z,this has been done via coveralls see pull request #293,neutral
0xfe/vexflow,eslint,2016-08-29T17:30:10Z,oh. right `const` doesn't make sense here. and our `eslint` rules won't let that code through anyway. huji do you know where this is coming from? i did a quick search in `src/` and didn't see that pattern anywhere.,negative
prettier/prettier,codecov,2017-09-01T09:40:55Z,looks good to me!could you add a test for `resolveconfigfile()` and `resolveconfigfile.sync()` to appease codecov?,neutral
prettier/prettier,codecov,2017-09-02T14:46:01Z,side note: anyone know how to get jest/istanbul collecting coverage from subprocesses (started via `runprettier`)? it's the reason codecov is saying `0% of diff hit`. i know `nyc` supports this.,neutral
prettier/prettier,codecov,2017-09-03T06:31:18Z,i’m not super familiar with codecov – will that start to show up as failing now in all prs? do we want to add some more integration tests before merging (looks like the target numbers are pretty close above?),positive
prettier/prettier,codecov,2017-09-03T06:58:03Z,> will that start to show up as failing now in all prsno. the `codecov/project` fails if the overall coverage reduces (which it is in this case because we are exposing existing code from `bin/prettier.js` that was previously excluded). this won't happen in future prs.the `codecov/patch` is based on the lines of code that were changed in a pr. so future changes to cli code may have low coverage. but that's expected and shouldn't be less than the 80% target.some test cases we could add:* an invalid configuration file* `.prettierignore` is a directory (i.e. `error.code !== "enoent"`)* file to be formatted doesn't exist* `prettier --write`,negative
prettier/prettier,eslint,2017-06-18T10:34:56Z,this decision doesn't make a lot of sense to me. if the goal is to be opinionated with no bike-shedding. why are there any options at all? seems like if there is even 1 option (ex. single vs double quotes) then other options should be up for discussion. most people were using standard to fix their code before prettier came along. though i don't care much which way we head (spaces or no spaces before parens). i'd like to see a consensus reached between the two projects. i think a nice separation would be to use prettier to format your code and standard to lint your code. right now they're conflicting with each other and therefore need either double parsing and fixing (e.g. prettier-standard) or custom eslint configuration for each project. both of which aren't ideal.,positive
prettier/prettier,eslint,2017-06-19T16:19:11Z,better docs for eslint. most people integrate prettier with eslint. we should put front and center how to plug in the config and plugin projects.help wanted.,positive
prettier/prettier,eslint,2017-06-19T19:03:35Z,> i know there are ways to to this by using eslint but it is a bit more complex then i would like.```js/* eslint-disable prettier/prettier */```i don't know how you get simpler than that.,negative
prettier/prettier,eslint,2017-06-21T08:57:57Z,vjeux cool. nice to hear you are aware and thinking about it. :)chadly yeah that is not bad if you allready have eslint set up. but i use prettier from my editor and many files are not in a project with eslint so that would need to be set up for all 70+ project i have on my work machine. which does not scale or make sense (for me at least). other files are not part of a project but standalone files where some of them should not be formatted. maybe there are other ways to set it up other than per project? do i need do stop using prettier through the editor?weird example: fiddler custom rules scripts file which is js but not quite (fiddlerscript). this language does not support the `"trailingcomma": "es5"` setting which i use everywhere else.jitendravyas ah. nice. i did not see that one. though my use case is a bit different it does make a case for some kind of ignore mechanism in prettier.obviously i would like a solution to contain some kind of comment support so i can ignore the files that create probles for me.,neutral
prettier/prettier,eslint,2017-06-21T18:06:20Z,our stance with prettier is that we do not change the ast. we just format it. this is best implement as an eslint rule with autofix if you do want it.,positive
prettier/prettier,eslint,2017-06-22T01:10:53Z,vjeux yes you are right. when i change it to specify the specific rule i want to ignore. it formats correctly:```type props = {    history: object. // eslint-disable-line react/no-unused-prop-types    muitheme: object}```thanks :),positive
prettier/prettier,eslint,2017-06-22T07:21:51Z,hopefully. this will avoid some confusion,negative
prettier/prettier,eslint,2017-06-24T03:18:21Z,there is a comment in typescript-eslint-parser:```js// typescript uses objectliteralexpression in destructuring assignment. too```this doesn't seem to be the case anymore. `objectbindingpattern` is used in destructuring assignments. maybe this behaviour is an artifact of this change.cc. jameshenry. soda0289,neutral
prettier/prettier,eslint,2017-06-26T14:12:46Z,`eslint-disable-next-line` (note the **next**) generally works fine for me. that might help you getting unblocked.,positive
prettier/prettier,eslint,2017-06-27T00:12:56Z,javascript imports can have side effects so it's not safe to do that unfortunately. also. we've taken the stance with prettier not to do those kind of transforms that change the ast.we recommend that those would be implemented as eslint rules with autofix.thanks for asking :),positive
prettier/prettier,eslint,2017-06-27T09:57:46Z,trying to override eslint (using prettier) to use single quotes not double. hi.i have passed command line arguments to prettier so it is formatting the way i want using single quotes.i setup eslint as per the instructions but i can't seem to override the quotes rule. it appears to still be coming from prettier/prettier. anyone know what i am doing wrong ?here is my eslintrc```{    "extends": "prettier".    "env": {        "browser": true.        "node": true    }.    "parseroptions": {        "ecmaversion": 6.        "sourcetype": "module"    }.    "plugins": [        "prettier"    ].    "rules": {        "prettier/prettier": "error".        "quotes": ["error". "single"]    }}```i thought i placed it correctly to be overridden i.e.         "quotes": ["error". "single"],negative
prettier/prettier,eslint,2017-06-27T11:08:51Z,`"prettier/prettier": ["error". { "singlequote": true }]`,positive
prettier/prettier,eslint,2017-06-27T11:51:19Z,thanks simenb,positive
prettier/prettier,eslint,2017-06-27T15:41:01Z,oh gosh this is embarrassing. i actually made that comparison table a week ago. and this section wasn't there when i first checked this readme then. my bad. do you think there's still any value in the table? there's some stuff about `prettier-eslint` that isn't covered in the screenshot you showed above. perhaps i can remove certain rows that are already mentioned. otherwise. feel free to close the pr.,negative
prettier/prettier,eslint,2017-06-27T16:37:59Z,thanks for helping out :)i don't think that eslint-prettier is a really good workflow. i'd rather have people disable rules that are in conflict with prettier rather than running eslint --fix afterwards. eslint autofix rules do not take into account 80 columns and we've had many people complain using this setup that the lines would go beyond 80 columns because of an autofix. also. eslint is an order of magnitude slower than prettier.i'll close this. but if you want to improve the wording of the existing section. that would be appreciated :),positive
prettier/prettier,eslint,2017-06-27T19:00:07Z,fix json files. awesome work with the json support. we've added it to prettier-eslint too now.it would be nice if we could get automatic fixing of json files too.auto fix of quotes and removing of trailing commas comes to mind.,positive
prettier/prettier,eslint,2017-06-28T07:49:24Z,+1 for some way to keep comments. our `.eslintrc`s are littered with them (yes. could use `.eslintrc.js`. but we don't. unfortunately).,negative
prettier/prettier,eslint,2017-06-28T14:30:34Z,multiple glob arguments have weird behavior. example (all files include nesting directories):```shellprettier --write '{**/*.*}.{js.jsx.json}'```but if i want to ignore some directories (example `vendor` - `composer` for `php`). i am use for `eslint`. `stylelint` and etc second glob argument:```shellprettier --write '{**/*.*}.{js.jsx.json}' '!vendor/**'```but it is not work with `prettier`. i can do pr if this accept.,negative
prettier/prettier,eslint,2017-06-28T14:38:47Z,could you show which files you expected to be touched. and which actually were touched?,neutral
prettier/prettier,eslint,2017-06-28T15:30:36Z,so you're saying that an exclude pattern makes no difference? if so. a pr fixing that would be great.,positive
prettier/prettier,eslint,2017-06-28T15:37:42Z,lydell yep. do pr in near future,neutral
prettier/prettier,eslint,2017-06-28T16:30:39Z,this is likely an issue with something else (maybe an eslint rule with autofix). i'm going to close this issue on prettier. thanks for reporting it!,positive
prettier/prettier,eslint,2017-06-28T16:32:17Z,as mentioned in the pr. i don't think that it's really prettier's job to do that. a lot of people are using normal js instead of strict json in their json files and we don't want to drop those extra pieces of information. i'd rather make it such that prettier throws when it's not valid than changing the code. thanks for the suggestion though :),positive
prettier/prettier,eslint,2017-06-28T21:17:10Z,the reason i reported is because prettier modifies the code to use double quotes. which results in an eslint error. is there any way this can be avoided?,negative
prettier/prettier,eslint,2017-06-29T07:57:29Z,i as a user of prettier actually expect some fixes to be done. like quotes and trailing commas. i get that stripping away comments and some other stuff like `infinity` and some ranges. if i understood the pr correctly. isn't the best way to go.however could we get some smaller fixes like quotes and trailing commas.,positive
prettier/prettier,eslint,2017-06-30T21:09:51Z,standard is a set of eslint rules. some of them with autofix. when you do not comply it's going to warn you.,neutral
prettier/prettier,eslint,2017-06-30T21:19:36Z,> standard is a set of eslint rules. some of them with autofixbut should not i use eslint then. as it has `--fix` option too?,neutral
prettier/prettier,eslint,2017-07-01T07:09:20Z,i am using atom-prettier - i do not have any other tools that i am aware of. although it is possible that the passing to eslint --fix is doing it?,neutral
prettier/prettier,eslint,2017-07-01T09:49:38Z,fyi `.eslintignore` works already with `eslint-plugin-prettier`.,neutral
prettier/prettier,eslint,2017-07-01T11:50:16Z,you should be able to use `eslint-plugin-prettier` and then use `eslint --fix` to get that style.,neutral
prettier/prettier,eslint,2017-07-01T12:41:40Z,ah of course. i had my wires crossed because my editor "format" binding runs `prettier-eslint`. not `eslint --fix`.,neutral
prettier/prettier,eslint,2017-07-01T13:15:14Z,azz i use prettier standalone without `eslint`,positive
prettier/prettier,eslint,2017-07-03T01:41:23Z,steida: at facebook we're doing it via an eslint plugin with autofix. i would recommend going that route instead of inside of prettier.,positive
prettier/prettier,eslint,2017-07-03T01:50:03Z,we show eslint warnings and autofix within nuclide and before you send the equivalent of a pr. so it's both.,neutral
prettier/prettier,eslint,2017-07-03T12:02:20Z,>  adjust webstorm code style options to be compatible with prettier default formatting style.i don't think that's a reasonable goal. especially if you're using `eslint-plugin-prettier`. which will error if a single character doesn't match the prettier output.and as good as a set of rules written in english can be. they will be. by definition. inadequate to describe the full "rule-set" of prettier itself. i think the better course of action would be to do what other editors have done and have a plugin that uses prettier to format your code.,positive
